cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1396009,2016-02-17,VMC,Mills Michael R,,0001225208-16-026834,2016-02-12,M,9812.0,89.99,18717.0,D,,,,,,
1396009,2016-02-17,VMC,Lott Jeffery G,,0001225208-16-026833,2016-02-12,M,2172.0,89.99,3088.0,D,,,,,,
1396009,2016-02-17,VMC,KHAN EJAZ A,,0001225208-16-026832,2016-02-12,M,6335.0,89.99,22558.0,D,,,,,,
1396009,2016-02-17,VMC,Grayson David J,,0001225208-16-026831,2016-02-12,M,1989.0,89.99,20662.0,D,,,,,,
1396009,2016-02-17,VMC,Duke William K,,0001225208-16-026830,2016-02-12,M,3033.0,89.99,24175.0,D,,,,,,
1396009,2016-02-17,VMC,Clement David P,,0001225208-16-026829,2016-02-12,M,1921.0,89.99,2779.0,D,,,,,,
1396009,2016-02-17,VMC,Bass Stanley G,,0001225208-16-026828,2016-02-12,M,9002.0,89.99,15576.0,D,,,,,,
1396009,2016-02-17,VMC,McPherson John R,,0001225208-16-026827,2016-02-12,M,12246.0,89.99,22020.0,D,,,,,,
1396009,2016-02-17,VMC,Hill J Thomas,,0001225208-16-026826,2016-02-12,M,9835.0,89.99,24286.665,D,,,,,,
1396009,2016-02-29,VMC,Clement David P,,0001225208-16-028544,2016-02-25,I,1297.3781,97.98,6074.924,D,,,,,,
1396009,2016-02-29,VMC,Clement David P,,0001225208-16-028544,2016-02-26,S,1300.0,98.99,1479.0,D,,,,,,
1396009,2016-02-29,VMC,Lodge Brock C. Jr,,0001225208-16-028543,2016-02-26,S,749.0,99.0,0.0,D,,,,,,
1396009,2016-03-14,VMC,Pasley David B.,,0001225208-16-029859,2016-03-11,S,200.0,103.27,1664.0,D,,,,,,
1396009,2016-03-14,VMC,Pasley David B.,,0001225208-16-029859,2016-03-11,I,234.7669,104.13,1501.693,D,,,,,,
1396009,2016-06-15,VMC,Clement David P,,0001225208-16-035073,2016-06-13,M,1750.0,43.05,3229.0,D,,,,,,
1396009,2016-06-15,VMC,Clement David P,,0001225208-16-035073,2016-06-13,F,953.0,115.49,2276.0,D,,,,,,
1396009,2016-06-16,VMC,Clement David P,,0001225208-16-035148,2016-06-16,S,1255.0,113.1655,1021.0,D,,,,,,
1396009,2016-07-01,VMC,Bass Stanley G,,0001225208-16-035815,2016-07-01,M,8910.0,109.2,24486.0,D,,,,,,
1396009,2016-07-01,VMC,Bass Stanley G,,0001225208-16-035815,2016-07-01,F,8472.0,120.36,16014.0,D,,,,,,
1396009,2016-07-13,VMC,Hill J Thomas,,0001225208-16-036722,2016-07-11,F,15148.0,123.61,26100.665,D,,,,,,
1396009,2016-07-13,VMC,Hill J Thomas,,0001225208-16-036722,2016-07-11,M,9285.0,47.47,30113.665,D,,,,,,
1396009,2016-07-13,VMC,Hill J Thomas,,0001225208-16-036722,2016-07-13,F,4146.0,125.67,26409.665,D,,,,,,
1396009,2016-07-13,VMC,Hill J Thomas,,0001225208-16-036722,2016-07-13,M,4455.0,109.2,30555.665,D,,,,,,
1396009,2016-08-08,VMC,Grayson David J,,0001225208-16-037602,2016-08-05,S,2025.0,118.77,18637.0,D,,,,,,
1396009,2016-08-12,VMC,Bass Stanley G,,0001225208-16-037787,2016-08-10,S,829.0,121.0662,15185.0,D,,,,,,
1396009,2016-08-15,VMC,Pasley David B.,,0001225208-16-037866,2016-08-12,M,1700.0,47.47,3502.0,D,,,,,,
1396009,2016-08-15,VMC,Pasley David B.,,0001225208-16-037866,2016-08-12,F,532.0,121.1,3710.0,D,,,,,,
1396009,2016-08-15,VMC,Grayson David J,,0001225208-16-037871,2016-08-12,M,2040.0,109.2,20677.0,D,,,,,,
1396009,2016-08-15,VMC,Grayson David J,,0001225208-16-037871,2016-08-12,F,1908.0,121.1,18769.0,D,,,,,,
1396009,2016-08-15,VMC,Pasley David B.,,0001225208-16-037866,2016-08-11,M,2040.0,109.2,3704.0,D,,,,,,
1396009,2016-08-15,VMC,Pasley David B.,,0001225208-16-037866,2016-08-11,F,1902.0,121.54,1802.0,D,,,,,,
1396009,2016-08-17,VMC,Mills Michael R,,0001225208-16-038047,2016-08-15,M,8910.0,109.2,27627.0,D,,,,,,
1396009,2016-08-17,VMC,Mills Michael R,,0001225208-16-038047,2016-08-15,F,1637.0,118.92,28075.0,D,,,,,,
1396009,2016-08-17,VMC,Pasley David B.,,0001225208-16-038046,2016-08-16,S,38.0,118.43,2670.0,D,,,,,,
1396009,2016-08-19,VMC,Pasley David B.,,0001225208-16-038164,2016-08-17,S,100.0,117.54,2470.0,D,,,,,,
1396009,2016-08-19,VMC,Mills Michael R,,0001225208-16-038163,2016-08-18,S,834.0,0.0,18717.0,D,,,,,,
1396009,2016-08-23,VMC,Clement David P,,0001225208-16-038243,2016-08-22,M,2040.0,109.2,3061.0,D,,,,,,
1396009,2016-08-23,VMC,Clement David P,,0001225208-16-038243,2016-08-22,F,1946.0,116.7,1115.0,D,,,,,,
