cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1014473,2016-02-12,VRSN,Kilguss George E III,,0001397763-16-000016,2016-02-10,F,1399.0,73.79,113587.0,D,,,,,,
1014473,2016-02-12,VRSN,Indelicarto Thomas C,,0001624651-16-000022,2016-02-10,F,781.0,73.79,39847.0,D,,,,,,
1014473,2016-02-12,VRSN,BIDZOS D JAMES,,0001204816-16-000017,2016-02-10,F,3473.0,73.79,628518.0,D,,,,,,
1014473,2016-02-19,VRSN,STRUBBE TODD  B,,0001185548-16-000010,2016-02-17,A,16942.0,0.0,90218.0,D,,,,,,
1014473,2016-02-19,VRSN,Indelicarto Thomas C,,0001624651-16-000024,2016-02-17,A,8594.0,0.0,48441.0,D,,,,,,
1014473,2016-02-19,VRSN,Kilguss George E III,,0001397763-16-000018,2016-02-17,A,12891.0,0.0,126478.0,D,,,,,,
1014473,2016-02-19,VRSN,BIDZOS D JAMES,,0001204816-16-000019,2016-02-17,A,31921.0,0.0,660439.0,D,,,,,,
1014473,2016-02-19,VRSN,TOMLINSON TIMOTHY,,0001416332-16-000008,2016-02-17,S,1350.0,81.484,16477.0,I,,,,,,
1014473,2016-02-23,VRSN,BIDZOS D JAMES,,0001204816-16-000021,2016-02-21,F,10723.0,80.67,685636.0,D,,,,,,
1014473,2016-02-23,VRSN,BIDZOS D JAMES,,0001204816-16-000021,2016-02-19,A,78159.0,0.0,733202.0,D,,,,,,
1014473,2016-02-23,VRSN,Indelicarto Thomas C,,0001624651-16-000026,2016-02-21,F,662.0,80.67,47448.0,D,,,,,,
1014473,2016-02-23,VRSN,BIDZOS D JAMES,,0001204816-16-000021,2016-02-19,F,5396.0,80.67,655043.0,D,,,,,,
1014473,2016-02-23,VRSN,Kilguss George E III,,0001397763-16-000020,2016-02-19,A,18981.0,0.0,143624.0,D,,,,,,
1014473,2016-02-23,VRSN,Kilguss George E III,,0001397763-16-000020,2016-02-19,F,1835.0,80.67,124643.0,D,,,,,,
1014473,2016-02-23,VRSN,Indelicarto Thomas C,,0001624651-16-000026,2016-02-19,F,331.0,80.67,48110.0,D,,,,,,
1014473,2016-03-01,VRSN,Kilguss George E III,,0001397763-16-000022,2016-02-26,F,4171.0,85.88,132208.0,D,,,,,,
1014473,2016-03-01,VRSN,Indelicarto Thomas C,,0001624651-16-000028,2016-02-26,F,549.0,85.88,46899.0,D,,,,,,
1014473,2016-03-01,VRSN,BIDZOS D JAMES,,0001204816-16-000023,2016-02-26,F,9533.0,85.88,676103.0,D,,,,,,
1014473,2016-04-18,VRSN,Indelicarto Thomas C,,0001624651-16-000030,2016-04-15,F,82.0,88.7,46817.0,D,,,,,,
1014473,2016-04-22,VRSN,STRUBBE TODD  B,,0001185548-16-000013,2016-04-20,F,2475.0,89.29,87743.0,D,,,,,,
1014473,2016-05-03,VRSN,BERKSHIRE HATHAWAY INC,,0001209191-16-117169,2016-04-29,S,12900.0,87.587,12972100.0,I,,,,,,
1014473,2016-05-17,VRSN,Kilguss George E III,,0001014473-16-000105,2016-05-14,F,4770.0,84.72,127438.0,D,,,,,,
1014473,2016-07-28,VRSN,SIMPSON LOUIS A,,0001085130-16-000006,2016-07-26,A,2977.0,0.0,210638.0,I,,,,,,
1014473,2016-07-28,VRSN,TOMLINSON TIMOTHY,,0001416332-16-000010,2016-07-26,A,2977.0,0.0,19067.0,I,,,,,,
1014473,2016-07-28,VRSN,FRIST THOMAS F III,,0001223892-16-000008,2016-07-26,A,2977.0,0.0,4642.0,D,,,,,,
1014473,2016-07-28,VRSN,MOORE ROGER H/CA,,0001204825-16-000006,2016-07-26,A,2977.0,0.0,33212.0,D,,,,,,
1014473,2016-07-28,VRSN,COTE KATHLEEN A,,0001181540-16-000008,2016-07-26,A,2977.0,0.0,42319.0,D,,,,,,
1014473,2016-07-28,VRSN,GORELICK JAMIE S,,0001184176-16-000012,2016-07-26,A,2977.0,0.0,9739.0,D,,,,,,
1014473,2016-07-28,VRSN,TOMLINSON TIMOTHY,,0001416332-16-000010,2016-05-05,G,387.0,0.0,16090.0,I,,,,,,
1014473,2016-08-03,VRSN,TOMLINSON TIMOTHY,,0001416332-16-000012,2016-08-02,S,1477.0,85.3,17590.0,I,,,,,,
1014473,2016-10-24,VRSN,Kilguss George E III,,0001397763-16-000024,2016-10-20,F,787.0,76.56,124308.0,D,,,,,,
1014473,2016-10-24,VRSN,Indelicarto Thomas C,,0001624651-16-000032,2016-10-20,F,584.0,76.56,46233.0,D,,,,,,
1014473,2016-10-24,VRSN,BIDZOS D JAMES,,0001204816-16-000025,2016-10-20,F,3933.0,76.56,672170.0,D,,,,,,
1014473,2016-11-03,VRSN,TOMLINSON TIMOTHY,,0001416332-16-000014,2016-11-01,G,65.0,0.0,17525.0,I,,,,,,
1014473,2016-11-15,VRSN,Indelicarto Thomas C,,0001624651-16-000034,2016-11-14,F,1073.0,78.81,45160.0,D,,,,,,
1014473,2017-01-17,VRSN,Indelicarto Thomas C,,0001624651-17-000002,2017-01-15,F,96.0,80.8,45064.0,D,,,,,,
1014473,2017-01-23,VRSN,BIDZOS D JAMES,,0001204816-17-000002,2017-01-20,F,717.0,80.42,671453.0,D,,,,,,
1014473,2017-01-23,VRSN,Kilguss George E III,,0001397763-17-000002,2017-01-20,F,158.0,80.42,124286.0,D,,,,,,
1014473,2017-01-23,VRSN,Indelicarto Thomas C,,0001624651-17-000004,2017-01-20,F,158.0,80.42,44906.0,D,,,,,,
1014473,2017-01-30,VRSN,COTE KATHLEEN A,,0001181540-17-000002,2016-11-01,S,5000.0,84.0,37319.0,D,,,,,,
1014473,2017-02-13,VRSN,Indelicarto Thomas C,,0001624651-17-000006,2017-02-10,F,756.0,83.14,44150.0,D,,,,,,
1014473,2017-02-13,VRSN,Kilguss George E III,,0001397763-17-000004,2017-02-10,F,1376.0,83.14,122910.0,D,,,,,,
1014473,2017-02-13,VRSN,BIDZOS D JAMES,,0001204816-17-000004,2017-02-10,F,3433.0,83.14,668020.0,D,,,,,,
1014473,2017-02-16,VRSN,STRUBBE TODD  B,,0001185548-17-000002,2017-02-14,A,16690.0,0.0,98686.0,D,,,,,,
1014473,2017-02-16,VRSN,Indelicarto Thomas C,,0001624651-17-000008,2017-02-14,A,8466.0,0.0,52616.0,D,,,,,,
1014473,2017-02-16,VRSN,Kilguss George E III,,0001397763-17-000006,2017-02-14,A,12699.0,0.0,135609.0,D,,,,,,
1014473,2017-02-16,VRSN,BIDZOS D JAMES,,0001204816-17-000006,2017-02-14,A,33865.0,0.0,701885.0,D,,,,,,
1014473,2017-02-21,VRSN,STRUBBE TODD  B,,0001185548-17-000004,2017-02-17,F,1422.0,82.3,97264.0,D,,,,,,
1014473,2017-02-21,VRSN,TOMLINSON TIMOTHY,,0001416332-17-000002,2017-02-17,G,479.0,0.0,17046.0,I,,,,,,
1014473,2017-02-21,VRSN,Kilguss George E III,,0001397763-17-000008,2017-02-19,F,1835.0,82.3,149795.0,D,,,,,,
1014473,2017-02-21,VRSN,Indelicarto Thomas C,,0001624651-17-000010,2017-02-19,F,331.0,82.3,51574.0,D,,,,,,
1014473,2017-02-21,VRSN,BIDZOS D JAMES,,0001204816-17-000008,2017-02-19,F,5396.0,82.3,758957.0,D,,,,,,
1014473,2017-02-21,VRSN,BIDZOS D JAMES,,0001204816-17-000008,2017-02-17,A,126718.0,0.0,824797.0,D,,,,,,
1014473,2017-02-21,VRSN,Indelicarto Thomas C,,0001624651-17-000010,2017-02-17,F,711.0,82.3,51905.0,D,,,,,,
1014473,2017-02-21,VRSN,BIDZOS D JAMES,,0001204816-17-000008,2017-02-17,F,3806.0,82.3,698079.0,D,,,,,,
1014473,2017-02-21,VRSN,Kilguss George E III,,0001397763-17-000008,2017-02-17,A,30774.0,0.0,165200.0,D,,,,,,
1014473,2017-02-21,VRSN,Kilguss George E III,,0001397763-17-000008,2017-02-17,F,1537.0,82.3,134426.0,D,,,,,,
1014473,2017-02-27,VRSN,Kilguss George E III,,0001397763-17-000010,2017-02-26,F,2263.0,83.31,147532.0,D,,,,,,
1014473,2017-02-27,VRSN,Indelicarto Thomas C,,0001624651-17-000012,2017-02-26,F,549.0,83.31,51025.0,D,,,,,,
1014473,2017-02-27,VRSN,BIDZOS D JAMES,,0001204816-17-000010,2017-02-26,F,6657.0,83.31,752300.0,D,,,,,,
1014473,2017-04-17,VRSN,Indelicarto Thomas C,,0001624651-17-000014,2017-04-15,F,119.0,87.68,50906.0,D,,,,,,
1014473,2017-04-21,VRSN,STRUBBE TODD  B,,0001185548-17-000006,2017-04-20,F,6742.0,88.71,90522.0,D,,,,,,
