cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1000697,2016-02-12,WAT,Cassis Eugene G,,0001127602-16-040907,2016-02-10,A,552.0,0.0,6621.0,I,,,,,,
1000697,2016-02-12,WAT,Cassis Eugene G,,0001127602-16-040907,2016-02-11,F,42.0,0.0,6579.0,I,,,,,,
1000697,2016-02-18,WAT,Cassis Eugene G,,0001127602-16-042098,2016-02-16,F,111.0,0.0,6468.0,I,,,,,,
1000697,2016-02-18,WAT,SILVEIRA MICHAEL F,,0001127602-16-042094,2016-02-16,F,114.0,0.0,4049.0,D,,,,,,
1000697,2016-02-29,WAT,Cassis Eugene G,,0001127602-16-043730,2016-02-26,F,45.0,0.0,6423.0,I,,,,,,
1000697,2016-02-29,WAT,SILVEIRA MICHAEL F,,0001127602-16-043729,2016-02-26,F,56.0,0.0,3993.0,D,,,,,,
1000697,2016-03-07,WAT,Cassis Eugene G,,0001127602-16-045232,2016-03-04,F,37.0,0.0,6386.0,I,,,,,,
1000697,2016-03-10,WAT,Cassis Eugene G,,0001127602-16-045859,2016-03-09,M,8000.0,49.31,36674.0,D,,,,,,
1000697,2016-03-10,WAT,Cassis Eugene G,,0001127602-16-045859,2016-03-09,S,8000.0,127.59,28674.0,D,,,,,,
1000697,2016-03-14,WAT,Khanna Rohit,,0001127602-16-046187,2016-03-11,S,1077.0,129.22,6814.0,D,,,,,,
1000697,2016-03-14,WAT,Kelly Terrence P,,0001127602-16-046185,2016-03-11,G,46.0,0.0,8158.0,D,,,,,,
1000697,2016-03-15,WAT,Khanna Rohit,,0001127602-16-046301,2016-03-14,S,700.0,128.878,6114.0,D,,,,,,
1000697,2016-05-05,WAT,KUEBLER CHRISTOPHER A,,0001127602-16-051195,2016-05-04,M,4000.0,48.88,20461.0,D,,,,,,
1000697,2016-05-05,WAT,KUEBLER CHRISTOPHER A,,0001127602-16-051195,2016-05-04,S,4000.0,129.88,16461.0,D,,,,,,
1000697,2016-05-16,WAT,Rae Elizabeth B,,0001127602-16-052233,2016-05-13,M,8000.0,79.05,14815.0,D,,,,,,
1000697,2016-05-16,WAT,Rae Elizabeth B,,0001127602-16-052233,2016-05-13,S,20000.0,134.96,6815.0,D,,,,,,
1000697,2016-05-17,WAT,SILVEIRA MICHAEL F,,0001127602-16-052429,2016-05-16,S,100.0,136.02,3893.0,D,,,,,,
1000697,2016-05-25,WAT,BEAUDOUIN MARK T,,0001127602-16-053350,2016-05-24,M,10000.0,79.15,17647.0,D,,,,,,
1000697,2016-05-25,WAT,BEAUDOUIN MARK T,,0001127602-16-053350,2016-05-24,S,10000.0,137.35,7647.0,D,,,,,,
1000697,2016-06-03,WAT,Harrington Michael C,,0001127602-16-054619,2016-06-02,M,12000.0,77.94,19187.0,D,,,,,,
1000697,2016-06-03,WAT,Harrington Michael C,,0001127602-16-054619,2016-06-02,S,12000.0,139.08,18387.0,D,,,,,,
1000697,2016-06-03,WAT,Cassis Eugene G,,0001127602-16-054618,2016-06-02,M,10000.0,77.94,38674.0,D,,,,,,
1000697,2016-06-03,WAT,Cassis Eugene G,,0001127602-16-054618,2016-06-02,S,20000.0,139.36,28674.0,D,,,,,,
1000697,2016-08-01,WAT,Rae Elizabeth B,,0001127602-16-059002,2016-07-29,M,24000.0,87.06,30815.0,D,,,,,,
1000697,2016-08-01,WAT,Rae Elizabeth B,,0001127602-16-059002,2016-07-29,S,24000.0,158.56,12815.0,D,,,,,,
1000697,2016-08-01,WAT,GLIMCHER LAURIE H M.D.,,0001127602-16-058998,2016-07-28,M,3200.0,75.94,12161.0,D,,,,,,
1000697,2016-08-01,WAT,GLIMCHER LAURIE H M.D.,,0001127602-16-058998,2016-07-28,S,3200.0,156.36,9761.0,D,,,,,,
1000697,2016-08-02,WAT,Cassis Eugene G,,0001127602-16-059163,2016-08-01,S,12000.0,160.06,64674.0,D,,,,,,
1000697,2016-08-02,WAT,TERRICCIANO DAVID,,0001127602-16-059160,2016-08-01,M,6000.0,87.06,10131.0,D,,,,,,
1000697,2016-08-02,WAT,Cassis Eugene G,,0001127602-16-059163,2016-08-01,M,12000.0,79.15,40674.0,D,,,,,,
1000697,2016-08-02,WAT,TERRICCIANO DAVID,,0001127602-16-059160,2016-08-01,S,24000.0,161.0,4131.0,D,,,,,,
1000697,2016-08-05,WAT,Khanna Rohit,,0001127602-16-059553,2016-08-04,S,191.7832,157.446,0.0,I,,,,,,
1000697,2016-08-09,WAT,Kelly Terrence P,,0001127602-16-059798,2016-08-08,M,4000.0,98.21,12158.0,D,,,,,,
1000697,2016-08-09,WAT,Kelly Terrence P,,0001127602-16-059798,2016-08-08,S,4000.0,156.53,8158.0,D,,,,,,
