cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
783325,2017-05-24,WEC,CHADWICK PATRICIA WALSH,,0000107815-17-000174,2017-05-22,G,2000.0,0.0,23526.5947,D,,,,,,
783325,2017-05-30,WEC,Martin Susan H.,,0000107815-17-000176,2017-05-25,M,15470.0,37.46,30435.5674,D,,,,,,
783325,2017-05-30,WEC,Martin Susan H.,,0000107815-17-000176,2017-05-25,S,15470.0,62.5,14965.5674,D,,,,,,
783325,2017-06-02,WEC,PAYNE ULICE JR,,0000107815-17-000178,2017-05-31,S,900.0,62.686,29130.2392,D,,,,,,
783325,2017-06-05,WEC,KLAPPA GALE E,,0000107815-17-000180,2017-06-01,M,100000.0,34.875,253227.7772,D,,,,,,
783325,2017-06-05,WEC,KLAPPA GALE E,,0000107815-17-000180,2017-06-01,S,100000.0,63.003,153227.7772,D,,,,,,
783325,2017-08-17,WEC,KLAPPA GALE E,,0000107815-17-000225,2017-08-15,M,80000.0,34.875,233288.0843,D,,,,,,
783325,2017-08-17,WEC,KLAPPA GALE E,,0000107815-17-000225,2017-08-15,S,80000.0,64.3846,153288.0843,D,,,,,,
783325,2017-08-17,WEC,KLAPPA GALE E,,0000107815-17-000225,2017-08-16,M,20500.0,34.875,173788.0843,D,,,,,,
783325,2017-08-17,WEC,KLAPPA GALE E,,0000107815-17-000225,2017-08-16,S,20500.0,64.5439,153288.0843,D,,,,,,
783325,2017-08-17,WEC,Metcalfe Tom,,0000107815-17-000223,2017-08-15,M,10000.0,37.46,16059.0,D,,,,,,
783325,2017-08-17,WEC,Metcalfe Tom,,0000107815-17-000223,2017-08-15,S,10000.0,64.4371,6059.0,D,,,,,,
783325,2017-08-17,WEC,CHADWICK PATRICIA WALSH,,0000107815-17-000221,2017-08-16,G,2500.0,0.0,21229.8617,D,,,,,,
783325,2017-08-21,WEC,KLAPPA GALE E,,0000107815-17-000227,2017-08-17,S,2200.0,64.71,153288.0843,D,,,,,,
783325,2017-08-21,WEC,KLAPPA GALE E,,0000107815-17-000227,2017-08-17,M,2200.0,34.875,155488.0843,D,,,,,,
783325,2017-08-21,WEC,KLAPPA GALE E,,0000107815-17-000227,2017-08-18,S,29948.0,64.7695,153288.0843,D,,,,,,
783325,2017-08-21,WEC,KLAPPA GALE E,,0000107815-17-000227,2017-08-18,M,29948.0,34.875,183236.0843,D,,,,,,
783325,2017-08-22,WEC,BOWLES BARBARA L,,0000107815-17-000229,2017-08-18,S,1500.0,64.6752,22911.454,D,,,,,,
783325,2017-08-23,WEC,KLAPPA GALE E,,0000107815-17-000231,2017-08-21,M,10000.0,34.875,163288.0843,D,,,,,,
783325,2017-08-23,WEC,KLAPPA GALE E,,0000107815-17-000231,2017-08-21,S,10000.0,64.86,153288.0843,D,,,,,,
783325,2017-08-25,WEC,KLAPPA GALE E,,0000107815-17-000235,2017-08-24,M,2222.0,34.875,155510.0843,D,,,,,,
783325,2017-08-25,WEC,KLAPPA GALE E,,0000107815-17-000235,2017-08-24,S,2222.0,65.11,153288.0843,D,,,,,,
783325,2017-08-25,WEC,KLAPPA GALE E,,0000107815-17-000235,2017-08-23,M,10410.0,34.875,163698.0843,D,,,,,,
783325,2017-08-25,WEC,KLAPPA GALE E,,0000107815-17-000235,2017-08-23,S,10410.0,65.0256,153288.0843,D,,,,,,
783325,2017-08-25,WEC,Lauber Scott J,,0000107815-17-000234,2017-08-23,M,1500.0,24.92,11583.9113,D,,,,,,
783325,2017-08-25,WEC,Lauber Scott J,,0000107815-17-000234,2017-08-23,S,1500.0,65.0,10083.9113,D,,,,,,
783325,2017-09-11,WEC,Martin Susan H.,,0000107815-17-000241,2017-09-07,M,15000.0,41.025,29977.5407,D,,,,,,
783325,2017-09-11,WEC,Martin Susan H.,,0000107815-17-000241,2017-09-07,S,15000.0,66.0,14977.5407,D,,,,,,
783325,2017-11-16,WEC,Martin Susan H.,,0000107815-17-000278,2017-11-14,M,17705.0,41.025,32682.5407,D,,,,,,
783325,2017-11-16,WEC,Martin Susan H.,,0000107815-17-000278,2017-11-14,S,17705.0,69.0,14977.5407,D,,,,,,
783325,2017-11-16,WEC,Lauber Scott J,,0000107815-17-000277,2017-11-15,S,1240.0,70.0,10102.2071,D,,,,,,
783325,2017-11-16,WEC,Lauber Scott J,,0000107815-17-000277,2017-11-15,M,1240.0,29.3475,11342.2071,D,,,,,,
783325,2017-11-16,WEC,KLAPPA GALE E,,0000107815-17-000276,2017-11-15,S,2722.0,69.9031,153346.669,D,,,,,,
783325,2017-11-16,WEC,KLAPPA GALE E,,0000107815-17-000276,2017-11-14,S,50000.0,69.3687,153346.669,D,,,,,,
783325,2017-11-16,WEC,KLAPPA GALE E,,0000107815-17-000276,2017-11-15,M,2722.0,37.46,156068.669,D,,,,,,
783325,2017-11-16,WEC,KLAPPA GALE E,,0000107815-17-000276,2017-11-14,M,50000.0,37.46,203346.669,D,,,,,,
