cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
72971,2016-07-05,WFC,SANGER STEPHEN W,,0001127602-16-057074,2016-07-01,A,1243.8869,47.03,111122.521,D,derivative,Phantom Stock Units,"Common Stock, $1 2/3 Par Value",1243.8869,,
72971,2016-07-05,WFC,JAMES DONALD M,,0001127602-16-057066,2016-07-01,A,611.3119,47.03,69976.376,D,derivative,Phantom Stock Units,"Common Stock, $1 2/3 Par Value",611.3119,,
72971,2016-07-05,WFC,Dean Lloyd H,,0001127602-16-057062,2016-07-01,A,231.2354,47.03,21832.6657,D,derivative,Phantom Stock Units,"Common Stock, $1 2/3 Par Value",231.2354,,
72971,2016-07-05,WFC,BAKER JOHN D II,,0001127602-16-057057,2016-07-01,A,1079.0984,47.03,73898.5219,D,derivative,Phantom Stock Units,"Common Stock, $1 2/3 Par Value",1079.0984,,
72971,2016-07-19,WFC,LEVY RICHARD,,0001127602-16-058204,2016-04-29,G,41000.0,0.0,743.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-19,WFC,LEVY RICHARD,,0001127602-16-058204,2016-07-15,M,2517.7553,0.0,3260.7553,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-19,WFC,LEVY RICHARD,,0001127602-16-058204,2016-07-15,F,1314.7553,47.71,1946.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-19,WFC,LEVY RICHARD,,0001127602-16-058204,2016-07-15,M,2517.7553,0.0,5033.3969,D,derivative,Restricted Share Right,"Common Stock, $1 2/3 Par Value",2517.7553,,
72971,2016-07-26,WFC,Shrewsberry John R.,,0001127602-16-058628,2016-07-22,M,10291.933,0.0,10291.933,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,Shrewsberry John R.,,0001127602-16-058628,2016-07-22,M,10291.933,0.0,20583.8656,D,derivative,Restricted Share Right,"Common Stock, $1 2/3 Par Value",10291.933,,
72971,2016-07-26,WFC,TOLSTEDT CARRIE L,,0001127602-16-058639,2016-07-22,M,5146.495,0.0,5146.495,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,TOLSTEDT CARRIE L,,0001127602-16-058639,2016-07-22,F,2565.495,48.32,2581.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,TOLSTEDT CARRIE L,,0001127602-16-058639,2016-07-22,M,5146.495,0.0,10291.9327,D,derivative,Restricted Share Right,"Common Stock, $1 2/3 Par Value",5146.495,,
72971,2016-07-26,WFC,STROTHER JAMES M,,0001127602-16-058635,2016-07-22,M,2573.7759,0.0,221157.7759,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,SLOAN TIMOTHY J,,0001127602-16-058633,2016-07-22,M,7719.2138,0.0,671788.4878,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,Shrewsberry John R.,,0001127602-16-058628,2016-07-22,F,5370.933,48.32,4921.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,Modjtabai Avid,,0001127602-16-058626,2016-07-22,F,2685.495,48.32,2461.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,STROTHER JAMES M,,0001127602-16-058635,2016-07-22,M,2573.7759,0.0,5145.438,D,derivative,Restricted Share Right,"Common Stock, $1 2/3 Par Value",2573.7759,,
72971,2016-07-26,WFC,STROTHER JAMES M,,0001127602-16-058635,2016-07-22,F,1282.7759,48.32,219875.0,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
72971,2016-07-26,WFC,SLOAN TIMOTHY J,,0001127602-16-058633,2016-07-22,F,3847.2138,48.32,667941.274,D,non_derivative,"Common Stock, $1 2/3 Par Value",,,,
