cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
104169,2022-03-15,WMT,McKenna Judith J,,0001127602-22-009377,2022-03-11,S,15000.0,142.6648,302116.331,D,,,,,,
104169,2022-03-17,WMT,McLay Kathryn J.,,0001127602-22-009794,2022-03-15,F,1137.0,144.05,228586.0,D,,,,,,
104169,2022-03-17,WMT,Chojnowski David,,0001127602-22-009793,2022-03-15,F,89.0,144.05,45605.733,D,,,,,,
104169,2022-03-18,WMT,WALTON ALICE L,,0001127602-22-009985,2022-03-16,J,234000.0,0.0,289959635.0,I,,,,,,
104169,2022-03-18,WMT,WALTON ALICE L,,0001127602-22-009985,2022-03-17,J,1925000.0,0.0,288034635.0,I,,,,,,
104169,2022-03-18,WMT,WALTON S ROBSON,,0001127602-22-009984,2022-03-16,J,234000.0,0.0,289959635.0,I,,,,,,
104169,2022-03-18,WMT,WALTON S ROBSON,,0001127602-22-009984,2022-03-17,J,1925000.0,0.0,288034635.0,I,,,,,,
104169,2022-03-18,WMT,WALTON JIM C,,0001127602-22-009983,2022-03-16,J,234000.0,0.0,289959635.0,I,,,,,,
104169,2022-03-18,WMT,WALTON JIM C,,0001127602-22-009983,2022-03-17,J,1925000.0,0.0,288034635.0,I,,,,,,
104169,2022-03-23,WMT,WALTON JIM C,,0001127602-22-010252,2022-03-21,G,1925000.0,0.0,10507124.0,D,,,,,,
104169,2022-03-25,WMT,McMillon C Douglas,,0001127602-22-010430,2022-03-24,S,9708.0,142.4058,1546274.398,D,,,,,,
104169,2022-04-01,WMT,Walton Steuart L,,0001127602-22-010955,2022-03-31,A,201.0,0.0,49490.8071,D,,,,,,
104169,2022-04-01,WMT,STEPHENSON RANDALL L,,0001127602-22-010954,2022-03-31,A,168.0,0.0,10299.75,D,,,,,,
104169,2022-04-01,WMT,Penner Gregory Boyd,,0001127602-22-010949,2022-03-31,A,357.0,0.0,71029.305,D,,,,,,
104169,2022-04-01,WMT,MAYER MARISSA A,,0001127602-22-010945,2022-03-31,A,168.0,0.0,34706.9274,D,,,,,,
104169,2022-04-01,WMT,Harris Carla A,,0001127602-22-010941,2022-03-31,A,84.0,0.0,10739.0,D,,,,,,
104169,2022-04-01,WMT,Friar Sarah,,0001127602-22-010937,2022-03-31,A,201.0,0.0,11894.3784,D,,,,,,
104169,2022-04-01,WMT,FLYNN TIMOTHY PATRICK,,0001127602-22-010934,2022-03-31,A,210.0,0.0,42305.6565,D,,,,,,
104169,2022-04-06,WMT,WALTON JIM C,,0001127602-22-011681,2022-04-05,J,1495000.0,0.0,286539635.0,I,,,,,,
104169,2022-04-06,WMT,WALTON ALICE L,,0001127602-22-011680,2022-04-05,J,1495000.0,0.0,286539635.0,I,,,,,,
104169,2022-04-06,WMT,WALTON S ROBSON,,0001127602-22-011679,2022-04-05,J,1495000.0,0.0,286539635.0,I,,,,,,
104169,2022-04-14,WMT,Chojnowski David,,0001127602-22-011973,2022-04-12,F,89.0,154.29,45521.756,D,,,,,,
104169,2022-04-29,WMT,McMillon C Douglas,,0001127602-22-012768,2022-04-28,S,9708.0,154.4141,1536570.564,D,,,,,,
104169,2022-05-12,WMT,Chojnowski David,,0001127602-22-014284,2022-05-10,F,89.0,151.31,45434.229,D,,,,,,
104169,2022-05-25,WMT,Rainey John D,,0001127602-22-015677,2022-05-23,A,122349.0,0.0,122349.0,D,,,,,,
104169,2022-05-27,WMT,McMillon C Douglas,,0001127602-22-015897,2022-05-26,S,9708.0,125.6061,1526863.925,D,,,,,,
104169,2022-06-03,WMT,Walton Steuart L,,0001127602-22-016735,2022-06-01,A,1569.0,0.0,51205.7811,D,,,,,,
104169,2022-06-03,WMT,WALTON S ROBSON,,0001127602-22-016734,2022-06-01,A,1569.0,0.0,3219243.5835,D,,,,,,
104169,2022-06-03,WMT,STEPHENSON RANDALL L,,0001127602-22-016733,2022-06-01,A,1569.0,0.0,11868.75,D,,,,,,
104169,2022-06-03,WMT,Penner Gregory Boyd,,0001127602-22-016732,2022-06-01,A,2451.0,0.0,73959.135,D,,,,,,
104169,2022-06-03,WMT,MAYER MARISSA A,,0001127602-22-016729,2022-06-01,A,1569.0,0.0,36554.9844,D,,,,,,
104169,2022-06-03,WMT,HORTON THOMAS W,,0001127602-22-016726,2022-06-01,A,1569.0,0.0,16172.0,D,,,,,,
104169,2022-06-03,WMT,Harris Carla A,,0001127602-22-016724,2022-06-01,A,1569.0,0.0,12308.0,D,,,,,,
104169,2022-06-03,WMT,Friar Sarah,,0001127602-22-016720,2022-06-01,A,1569.0,0.0,13557.8274,D,,,,,,
104169,2022-06-03,WMT,FLYNN TIMOTHY PATRICK,,0001127602-22-016717,2022-06-01,A,1569.0,0.0,44214.6905,D,,,,,,
104169,2022-06-03,WMT,Conde Cesar,,0001127602-22-016716,2022-06-01,A,1569.0,0.0,7052.0,D,,,,,,
104169,2022-06-09,SYM,Walmart Inc.,,0000104169-22-000034,2022-06-07,J,43756942.0,,43756942.0,D,,,,,,
