cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
823768,2016-02-22,WM,TREVATHAN JAMES E JR,,0001225208-16-027355,2016-02-18,A,45013.0,54.945,316349.7192,D,,,,,,
823768,2016-02-22,WM,Harris Jeff M,,0001225208-16-027353,2016-02-18,F,15130.0,54.945,26552.0,D,,,,,,
823768,2016-02-22,WM,Bhasin Puneet,,0001225208-16-027350,2016-02-18,A,18004.0,54.945,49990.0,D,,,,,,
823768,2016-02-22,WM,Fish James C Jr,,0001225208-16-027351,2016-02-18,A,42023.0,54.945,95603.6487,D,,,,,,
823768,2016-02-22,WM,STEINER DAVID P,,0001225208-16-027352,2016-02-18,A,216063.0,54.945,644879.411,D,,,,,,
823768,2016-02-22,WM,Morris John J,,0001225208-16-027354,2016-02-18,A,31222.0,54.945,59635.0,D,,,,,,
823768,2016-02-22,WM,Harris Jeff M,,0001225208-16-027353,2016-02-18,A,38422.0,54.945,41682.0,D,,,,,,
823768,2016-02-22,WM,Morris John J,,0001225208-16-027354,2016-02-18,F,10478.0,54.945,49157.0,D,,,,,,
823768,2016-02-22,WM,TREVATHAN JAMES E JR,,0001225208-16-027355,2016-02-18,F,16254.0,54.945,300095.7192,D,,,,,,
823768,2016-02-22,WM,Bhasin Puneet,,0001225208-16-027350,2016-02-18,F,4971.0,54.945,45019.0,D,,,,,,
823768,2016-02-22,WM,Rankin Devina A,,0001225208-16-027348,2016-02-18,F,1092.0,54.945,9762.951,D,,,,,,
823768,2016-02-22,WM,Bhasin Puneet,,0001225208-16-027350,2016-02-19,S,2693.0,55.64,42326.0,D,,,,,,
823768,2016-02-22,WM,CALDWELL BARRY H,,0001225208-16-027349,2016-02-18,F,4192.0,54.945,51430.7859,D,,,,,,
823768,2016-02-22,WM,Carpenter Don P,,0001225208-16-027346,2016-02-19,S,978.0,55.5669,23758.0,D,,,,,,
823768,2016-02-22,WM,CALDWELL BARRY H,,0001225208-16-027349,2016-02-18,A,15164.0,54.945,55622.7859,D,,,,,,
823768,2016-02-22,WM,Carpenter Don P,,0001225208-16-027346,2016-02-18,A,6537.0,54.945,26588.0,D,,,,,,
823768,2016-02-22,WM,Schwartz Mark E.,,0001225208-16-027347,2016-02-19,S,2268.0,55.64,40061.687,D,,,,,,
823768,2016-02-22,WM,Carpenter Don P,,0001225208-16-027346,2016-02-18,F,1852.0,54.945,24736.0,D,,,,,,
823768,2016-02-22,WM,Schwartz Mark E.,,0001225208-16-027347,2016-02-18,A,15164.0,54.945,46532.687,D,,,,,,
823768,2016-02-22,WM,Rankin Devina A,,0001225208-16-027348,2016-02-19,S,561.0,55.66,9201.951,D,,,,,,
823768,2016-02-22,WM,Rankin Devina A,,0001225208-16-027348,2016-02-18,A,3740.0,54.945,10854.951,D,,,,,,
823768,2016-02-22,WM,Schwartz Mark E.,,0001225208-16-027347,2016-02-18,F,4203.0,54.945,42329.687,D,,,,,,
823768,2016-02-23,WM,Harris Jeff M,,0001225208-16-027637,2016-02-19,S,2722.0,55.56,23830.0,D,,,,,,
823768,2016-02-23,WM,Harris Jeff M,,0001225208-16-027637,2016-02-22,S,1000.0,55.91,85350.133,I,,,,,,
823768,2016-02-23,WM,TREVATHAN JAMES E JR,,0001225208-16-027640,2016-02-19,S,2722.0,55.5596,297373.7192,D,,,,,,
823768,2016-02-23,WM,CALDWELL BARRY H,,0001225208-16-027639,2016-02-22,S,907.0,55.9601,50523.7859,D,,,,,,
823768,2016-02-23,WM,Morris John J,,0001225208-16-027638,2016-02-19,S,2723.0,55.5603,46434.0,D,,,,,,
823768,2016-02-23,WM,Morris John J,,0001225208-16-027638,2016-02-22,S,4000.0,55.8505,42434.0,D,,,,,,
823768,2016-02-26,WM,CALDWELL BARRY H,,0001225208-16-028367,2016-02-24,S,12785.0,56.0157,36399.7859,D,,,,,,
823768,2016-02-26,WM,CALDWELL BARRY H,,0001225208-16-028367,2016-02-25,G,2500.0,0.0,33899.7859,D,,,,,,
823768,2016-03-01,WM,Rankin Devina A,,0001225208-16-028770,2016-02-26,A,759.0,0.0,9960.951,D,,,,,,
823768,2016-03-01,WM,Carpenter Don P,,0001225208-16-028769,2016-02-26,A,896.0,0.0,24654.0,D,,,,,,
823768,2016-03-10,WM,Fish James C Jr,,0001225208-16-029627,2016-03-09,M,55000.0,36.885,150603.6487,D,,,,,,
823768,2016-03-10,WM,Fish James C Jr,,0001225208-16-029627,2016-03-09,S,562.0,57.7601,150041.6487,D,,,,,,
823768,2016-03-10,WM,Fish James C Jr,,0001225208-16-029627,2016-03-09,F,43027.0,57.44,107014.6487,D,,,,,,
823768,2016-03-10,WM,Rankin Devina A,,0001225208-16-029626,2016-03-08,F,208.0,57.005,9752.951,D,,,,,,
823768,2016-03-10,WM,Rankin Devina A,,0001225208-16-029626,2016-03-09,M,3262.0,36.885,13014.951,D,,,,,,
823768,2016-03-10,WM,Rankin Devina A,,0001225208-16-029626,2016-03-09,S,88.0,57.7301,15004.951,D,,,,,,
823768,2016-03-10,WM,Rankin Devina A,,0001225208-16-029626,2016-03-09,F,4070.0,57.44,10758.951,D,,,,,,
823768,2016-03-10,WM,Rankin Devina A,,0001225208-16-029626,2016-03-10,S,114.0,57.78,10644.951,D,,,,,,
823768,2016-03-10,WM,Carpenter Don P,,0001225208-16-029625,2016-03-08,F,363.0,54.005,24291.0,D,,,,,,
823768,2016-03-10,WM,Carpenter Don P,,0001225208-16-029625,2016-03-09,M,5703.0,36.885,29994.0,D,,,,,,
823768,2016-03-10,WM,Carpenter Don P,,0001225208-16-029625,2016-03-09,S,115.0,57.725,32598.0,D,,,,,,
823768,2016-03-10,WM,Carpenter Don P,,0001225208-16-029625,2016-03-09,F,6388.0,57.44,25904.0,D,,,,,,
823768,2016-03-10,WM,Carpenter Don P,,0001225208-16-029625,2016-03-10,S,198.0,57.78,25706.0,D,,,,,,
823768,2016-05-04,WM,Morris John J,,0001225208-16-032531,2016-05-02,M,20431.0,36.885,62865.0,D,,,,,,
823768,2016-05-04,WM,Carpenter Don P,,0001225208-16-032532,2016-05-02,S,2000.0,59.557,23706.0,D,,,,,,
823768,2016-05-04,WM,Carpenter Don P,,0001225208-16-032532,2016-05-02,G,2500.0,0.0,21206.0,D,,,,,,
823768,2016-05-04,WM,Bhasin Puneet,,0001225208-16-032530,2016-05-02,M,23565.0,36.885,65891.0,D,,,,,,
823768,2016-05-04,WM,Bhasin Puneet,,0001225208-16-032530,2016-05-02,S,23565.0,59.5877,42326.0,D,,,,,,
823768,2016-05-04,WM,Morris John J,,0001225208-16-032531,2016-05-02,S,13483.0,59.55,62865.0,D,,,,,,
823768,2016-05-06,WM,Harris Jeff M,,0001225208-16-032741,2016-05-04,M,50287.0,36.885,74117.0,D,,,,,,
823768,2016-05-06,WM,Harris Jeff M,,0001225208-16-032741,2016-05-04,S,62927.0,60.0748,38156.0,D,,,,,,
823768,2016-05-16,WM,Harris Jeff M,,0001225208-16-033314,2016-05-12,S,0.133,61.3,64410.0,I,,,,,,
823768,2016-05-17,WM,CALDWELL BARRY H,,0001225208-16-033480,2016-05-13,M,9922.0,36.885,43821.7859,D,,,,,,
