cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
105770,2016-02-22,WST,Malone Daniel,,0001225208-16-027214,2016-02-19,F,205.0,59.21,22466.3167,D,,,,,,
105770,2016-02-24,WST,Lennartz Heino,,0001225208-16-027789,2015-08-05,S,4000.0,60.51,14935.02,D,,,,,,
105770,2016-02-24,WST,Johnson Paula A,,0001225208-16-027812,2016-02-23,S,7800.0,59.3934,39092.65,D,,,,,,
105770,2016-02-24,WST,Lennartz Heino,,0001225208-16-027893,2016-02-23,M,9458.0,21.22,20911.0285,D,,,,,,
105770,2016-02-24,WST,Lennartz Heino,,0001225208-16-027893,2016-02-23,S,6584.0,59.4037,20911.0285,D,,,,,,
105770,2016-02-24,WST,Lennartz Heino,,0001225208-16-027893,2016-02-24,S,3616.0,59.6569,11453.0285,D,,,,,,
105770,2016-02-24,WST,Johnson Paula A,,0001225208-16-027812,2016-02-23,M,7800.0,18.05,46892.65,D,,,,,,
105770,2016-02-24,WST,ZENNER PATRICK J,,0001225208-16-027813,2016-02-23,M,12800.0,18.05,61121.74,D,,,,,,
105770,2016-02-24,WST,ZENNER PATRICK J,,0001225208-16-027813,2016-02-23,S,12800.0,59.3907,48321.74,D,,,,,,
105770,2016-02-24,WST,Bedwell Warwick,,0001225208-16-027900,2016-02-22,S,6584.0,59.5182,43623.082,D,,,,,,
105770,2016-02-24,WST,Bedwell Warwick,,0001225208-16-027900,2016-02-22,M,9458.0,21.22,43623.082,D,,,,,,
105770,2016-02-24,WST,Lennartz Heino,,0001225208-16-027893,2016-02-24,M,3616.0,47.34,15069.0285,D,,,,,,
105770,2016-02-25,WST,Green Eric Mark,,0001225208-16-028105,2016-02-23,A,2205.0,59.64,51118.772,D,,,,,,
105770,2016-02-25,WST,Flynn Karen,,0001225208-16-028097,2016-02-23,A,3914.0,59.64,27965.7333,D,,,,,,
105770,2016-02-25,WST,Ryan Christopher G,,0001225208-16-028100,2016-02-23,A,684.0,59.64,684.0,D,,,,,,
105770,2016-02-25,WST,Favorite Annette F,,0001225208-16-028106,2016-02-23,A,730.0,59.64,5276.805,D,,,,,,
105770,2016-02-25,WST,Malone Daniel,,0001225208-16-028104,2016-02-23,A,2271.0,59.64,24737.3167,D,,,,,,
105770,2016-02-25,WST,Paproski John E,,0001225208-16-028096,2016-02-23,A,7750.0,59.64,78222.8037,D,,,,,,
105770,2016-02-25,WST,ANDERSON MICHAEL A,,0001225208-16-028098,2016-02-23,A,1897.0,59.64,63506.9774,D,,,,,,
105770,2016-02-25,WST,Bedwell Warwick,,0001225208-16-028092,2016-02-24,M,3616.0,47.34,42394.082,D,,,,,,
105770,2016-02-25,WST,Lennartz Heino,,0001225208-16-028089,2016-02-23,A,3171.0,59.64,30666.0285,D,,,,,,
105770,2016-02-25,WST,Bedwell Warwick,,0001225208-16-028092,2016-02-23,A,4613.0,59.64,38778.082,D,,,,,,
105770,2016-02-25,WST,FEDERICI WILLIAM J,,0001225208-16-028090,2016-02-23,A,9137.0,59.64,211518.145,D,,,,,,
105770,2016-02-25,WST,Bedwell Warwick,,0001225208-16-028092,2016-02-23,M,3680.0,54.14,42458.082,D,,,,,,
105770,2016-02-25,WST,Bedwell Warwick,,0001225208-16-028092,2016-02-24,S,3616.0,59.2347,38778.082,D,,,,,,
105770,2016-02-25,WST,Bedwell Warwick,,0001225208-16-028092,2016-02-23,S,3680.0,58.8405,38778.082,D,,,,,,
105770,2016-02-26,WST,Lennartz Heino,,0001225208-16-028374,2016-02-25,M,3680.0,54.14,18304.0285,D,,,,,,
105770,2016-02-26,WST,Lennartz Heino,,0001225208-16-028374,2016-02-25,S,2000.0,62.41,16304.0285,D,,,,,,
105770,2016-03-01,WST,Hofmann Thomas W,,0001225208-16-028668,2016-02-29,S,3042.0,62.7,34636.55,D,,,,,,
105770,2016-03-02,WST,ANDERSON MICHAEL A,,0001225208-16-028876,2016-03-01,S,1414.0,63.66,70506.9774,D,,,,,,
105770,2016-03-02,WST,FEDERICI WILLIAM J,,0001225208-16-028870,2016-03-01,G,3205.0,0.0,208313.145,D,,,,,,
105770,2016-03-02,WST,ANDERSON MICHAEL A,,0001225208-16-028876,2016-03-01,M,7000.0,16.045,70506.9774,D,,,,,,
105770,2016-05-05,WST,Michels Douglas A,,0001225208-16-032677,2016-05-03,A,2262.0,0.0,21882.268,D,,,,,,
105770,2016-05-05,WST,BUTHMAN MARK A,,0001225208-16-032665,2016-05-03,A,2262.0,0.0,21882.268,D,,,,,,
105770,2016-05-05,WST,Hofmann Thomas W,,0001225208-16-032664,2016-05-03,A,2262.0,0.0,36971.9813,D,,,,,,
105770,2016-05-05,WST,ZENNER PATRICK J,,0001225208-16-032662,2016-05-03,A,2262.0,0.0,50668.1784,D,,,,,,
105770,2016-05-05,WST,Feehery William F,,0001225208-16-032658,2016-05-03,A,2262.0,0.0,16992.2201,D,,,,,,
105770,2016-05-05,WST,WEILAND JOHN H,,0001225208-16-032657,2016-05-03,A,2262.0,0.0,41449.9584,D,,,,,,
105770,2016-05-05,WST,LAI GOLDMAN MYLA,,0001225208-16-032655,2016-05-03,A,2262.0,0.0,7785.3014,D,,,,,,
105770,2016-05-05,WST,Johnson Paula A,,0001225208-16-032652,2016-05-03,A,2262.0,0.0,41431.0847,D,,,,,,
105770,2016-05-23,WST,Green Eric Mark,,0001225208-16-033823,2016-05-20,A,2.3264,72.73,2.3264,I,,,,,,
105770,2016-05-25,WST,Hofmann Thomas W,,0001225208-16-033970,2016-05-25,S,2466.0,73.5736,34505.9813,D,,,,,,
105770,2016-06-02,WST,Malone Daniel,,0001225208-16-034453,2016-06-02,M,3950.0,22.485,30665.5015,D,,,,,,
105770,2016-06-02,WST,Malone Daniel,,0001225208-16-034453,2016-06-02,S,3950.0,74.9511,26715.5015,D,,,,,,
105770,2016-06-06,WST,Green Eric Mark,,0001225208-16-034603,2016-06-03,A,14.3112,75.25,16.6376,I,,,,,,
105770,2016-06-20,WST,Green Eric Mark,,0001225208-16-035232,2016-06-17,A,19.2594,73.89,35.897,I,,,,,,
105770,2016-07-06,WST,Green Eric Mark,,0001225208-16-036279,2016-07-05,A,15.711,75.89,51.608,I,,,,,,
105770,2016-07-18,WST,Green Eric Mark,,0001225208-16-036792,2016-07-15,A,15.3272,77.79,66.9329,I,,,,,,
105770,2016-08-01,WST,Green Eric Mark,,0001225208-16-037198,2016-07-29,A,14.8518,80.28,81.7848,I,,,,,,
105770,2016-08-15,WST,Flynn Karen,,0001225208-16-037862,2016-08-12,A,0.8917,81.0,1131.8395,I,,,,,,
105770,2016-08-15,WST,Green Eric Mark,,0001225208-16-037861,2016-08-12,A,14.7198,81.0,96.5047,I,,,,,,
105770,2016-08-24,WST,Johnson Paula A,,0001225208-16-038299,2016-08-23,S,3042.0,81.55,38450.4471,D,,,,,,
105770,2016-08-29,WST,Green Eric Mark,,0001225208-16-038432,2016-08-26,A,14.6188,81.56,111.1235,I,,,,,,
105770,2016-08-29,WST,Flynn Karen,,0001225208-16-038431,2016-08-26,A,8.4883,81.56,1140.3278,I,,,,,,
105770,2016-09-07,WST,Flynn Karen,,0001225208-16-038910,2016-09-06,S,14581.0,83.28,13512.549,D,,,,,,
105770,2016-09-12,WST,Green Eric Mark,,0001225208-16-039216,2016-09-09,A,14.8685,80.19,125.9921,I,,,,,,
105770,2016-09-12,WST,Flynn Karen,,0001225208-16-039215,2016-09-09,A,8.6333,80.19,1148.9612,I,,,,,,
105770,2016-09-13,WST,Pucci Paolo,,0001225208-16-039239,2016-09-12,A,1277.0,0.0,1277.0,D,,,,,,
105770,2016-09-26,WST,Green Eric Mark,,0001225208-16-039646,2016-09-23,A,16.4343,72.55,142.4264,I,,,,,,
105770,2016-09-26,WST,Flynn Karen,,0001225208-16-039645,2016-09-23,A,9.5425,72.55,1158.5037,I,,,,,,
105770,2016-09-28,WST,MONTECALVO DAVID A,,0001225208-16-039736,2016-09-26,A,1393.0,0.0,1393.0,D,,,,,,
105770,2016-10-11,WST,Green Eric Mark,,0001225208-16-040306,2016-10-07,A,15.8047,75.44,158.2311,I,,,,,,
105770,2016-10-11,WST,Flynn Karen,,0001225208-16-040305,2016-10-07,A,9.1769,75.44,1167.6807,I,,,,,,
105770,2016-10-24,WST,MILLER GEORGE LLOYD,,0001225208-16-040698,2016-10-21,A,6.6523,71.68,6.6523,I,,,,,,
105770,2016-10-24,WST,Flynn Karen,,0001225208-16-040697,2016-10-21,A,9.6583,71.68,1179.1434,I,,,,,,
105770,2016-10-24,WST,Green Eric Mark,,0001225208-16-040696,2016-10-21,A,16.6337,71.68,174.9946,I,,,,,,
105770,2016-11-01,WST,Johnson Paula A,,0001225208-16-040900,2016-10-31,S,2466.0,75.87,36037.9422,D,,,,,,
105770,2016-11-07,WST,MILLER GEORGE LLOYD,,0001225208-16-041224,2016-11-04,A,8.1626,75.39,14.8149,I,,,,,,
105770,2016-11-07,WST,Green Eric Mark,,0001225208-16-041223,2016-11-04,A,15.8152,75.39,190.8098,I,,,,,,
105770,2016-11-07,WST,Flynn Karen,,0001225208-16-041221,2016-11-04,A,9.183,75.39,1188.3265,I,,,,,,
105770,2016-11-21,WST,Favorite Annette F,,0001225208-16-042014,2016-11-18,A,0.1924,80.14,0.1924,I,,,,,,
105770,2016-11-21,WST,MILLER GEORGE LLOYD,,0001225208-16-042015,2016-11-18,A,7.6788,80.14,22.4937,I,,,,,,
105770,2016-11-21,WST,Flynn Karen,,0001225208-16-042012,2016-11-18,A,8.6387,80.14,1196.9652,I,,,,,,
105770,2016-11-21,WST,Green Eric Mark,,0001225208-16-042013,2016-11-18,A,14.8778,80.14,205.6877,I,,,,,,
105770,2016-12-05,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-16-003669,2016-12-02,A,7.6378,80.57,30.1315,I,,,,,,
105770,2016-12-05,WST,Favorite Annette F,isOfficer,0001562180-16-003667,2016-12-02,A,5.7284,80.57,5.9208,I,,,,,,
105770,2016-12-05,WST,Green Eric Mark,"isDirector,isOfficer",0001562180-16-003665,2016-12-02,A,14.7984,80.57,220.4861,I,,,,,,
105770,2016-12-05,WST,Flynn Karen,isOfficer,0001562180-16-003663,2016-12-02,A,8.5927,80.57,1205.5579,I,,,,,,
105770,2016-12-09,WST,ZENNER PATRICK J,isDirector,0001562180-16-003705,2016-12-08,P,332.0,84.528,51831.1253,D,,,,,,
105770,2016-12-14,WST,ZENNER PATRICK J,isDirector,0001562180-16-003768,2016-12-13,G,330.0,0.0,51501.1253,D,,,,,,
105770,2016-12-15,WST,FEDERICI WILLIAM J,isOfficer,0001562180-16-003811,2016-12-13,G,600.0,0.0,208695.3325,D,,,,,,
105770,2016-12-19,WST,Green Eric Mark,"isDirector,isOfficer",0001562180-16-003839,2016-12-16,A,14.0885,84.63,234.5746,I,,,,,,
105770,2016-12-19,WST,Flynn Karen,isOfficer,0001562180-16-003838,2016-12-16,A,8.1804,84.63,1213.7383,I,,,,,,
105770,2016-12-19,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-16-003841,2016-12-16,A,7.2714,84.63,37.4029,I,,,,,,
105770,2016-12-19,WST,Favorite Annette F,isOfficer,0001562180-16-003840,2016-12-16,A,5.4536,84.63,11.3744,I,,,,,,
105770,2017-01-03,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-17-000067,2016-12-30,A,7.2543,84.83,44.6572,I,,,,,,
105770,2017-01-03,WST,Favorite Annette F,isOfficer,0001562180-17-000066,2016-12-30,A,5.4408,84.83,16.8152,I,,,,,,
105770,2017-01-03,WST,Green Eric Mark,"isDirector,isOfficer",0001562180-17-000065,2016-12-30,A,14.0553,84.83,248.6299,I,,,,,,
105770,2017-01-03,WST,Flynn Karen,isOfficer,0001562180-17-000064,2016-12-30,A,8.1611,84.83,1221.8994,I,,,,,,
105770,2017-02-15,WST,MONTECALVO DAVID A,isOfficer,0001562180-17-000714,2017-02-14,A,125.0,86.93,1520.42,D,,,,,,
105770,2017-02-16,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-17-000738,2017-02-14,A,3253.0,86.93,3297.6399,I,,,,,,
105770,2017-02-16,WST,Favorite Annette F,isOfficer,0001562180-17-000737,2017-02-14,A,520.0,86.93,6170.9727,D,,,,,,
105770,2017-02-16,WST,Malone Daniel,isOfficer,0001562180-17-000736,2017-02-14,A,943.0,86.93,27726.8866,D,,,,,,
105770,2017-02-16,WST,Flynn Karen,isOfficer,0001562180-17-000735,2017-02-14,A,4049.0,86.93,17691.2326,D,,,,,,
105770,2017-02-16,WST,FEDERICI WILLIAM J,isOfficer,0001562180-17-000734,2017-02-14,A,4623.0,86.93,211202.1252,D,,,,,,
105770,2017-02-16,WST,Green Eric Mark,"isDirector,isOfficer",0001562180-17-000733,2017-02-14,A,1540.0,86.93,53231.0865,D,,,,,,
105770,2017-03-07,WST,Flynn Karen,isOfficer,0001562180-17-001134,2017-02-17,F,86.0,83.13,17605.2326,D,,,,,,
105770,2017-05-02,WST,Malone Daniel,isOfficer,0001562180-17-001605,2017-05-02,M,4124.0,20.85,33144.3934,D,,,,,,
105770,2017-05-02,WST,Malone Daniel,isOfficer,0001562180-17-001605,2017-05-02,S,4124.0,93.3114,29020.3934,D,,,,,,
105770,2017-05-03,WST,Pucci Paolo,isDirector,0001562180-17-001685,2017-05-02,A,1697.0,0.0,2978.184,D,,,,,,
105770,2017-05-03,WST,Johnson Paula A,isDirector,0001562180-17-001687,2017-05-02,A,1697.0,0.0,37853.0171,D,,,,,,
105770,2017-05-03,WST,ZENNER PATRICK J,isDirector,0001562180-17-001693,2017-05-02,A,1697.0,0.0,53328.5691,D,,,,,,
105770,2017-05-03,WST,Michels Douglas A,isDirector,0001562180-17-001690,2017-05-02,A,1697.0,0.0,23717.439,D,,,,,,
105770,2017-05-03,WST,Feehery William F,isDirector,0001562180-17-001680,2017-05-02,A,1697.0,0.0,18795.6399,D,,,,,,
105770,2017-05-03,WST,Hofmann Thomas W,isDirector,0001562180-17-001681,2017-05-02,A,1697.0,0.0,36426.708,D,,,,,,
105770,2017-05-03,WST,BUTHMAN MARK A,isDirector,0001562180-17-001678,2017-05-02,A,1697.0,0.0,23717.439,D,,,,,,
105770,2017-05-03,WST,WEILAND JOHN H,isDirector,0001562180-17-001688,2017-05-02,A,1697.0,0.0,43412.1785,D,,,,,,
105770,2017-05-03,WST,LAI GOLDMAN MYLA,isDirector,0001562180-17-001689,2017-05-02,A,1697.0,0.0,9528.9468,D,,,,,,
105770,2017-05-18,WST,FEDERICI WILLIAM J,isOfficer,0001562180-17-001995,2017-05-18,M,54996.0,20.85,266489.3342,D,,,,,,
105770,2017-05-18,WST,FEDERICI WILLIAM J,isOfficer,0001562180-17-001995,2017-05-18,S,52396.0,95.4173,214093.3342,D,,,,,,
105770,2017-06-02,WST,Keller Deborah L,isDirector,0001562180-17-002114,2017-06-01,A,1483.0,0.0,1483.0,D,,,,,,
105770,2017-08-14,WST,Flynn Karen,isOfficer,0001562180-17-002663,2017-08-11,A,7.0648,84.93,1235.1922,I,,,,,,
105770,2017-08-29,WST,Flynn Karen,isOfficer,0001562180-17-002798,2017-08-25,A,8.644,85.43,1243.8362,I,,,,,,
105770,2017-09-11,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-17-002925,2017-09-08,A,5.2998,91.43,4579.0389,I,,,,,,
105770,2017-09-11,WST,Flynn Karen,isOfficer,0001562180-17-002923,2017-09-08,A,8.0768,91.43,1251.913,I,,,,,,
105770,2017-09-25,WST,MILLER GEORGE LLOYD,isOfficer,0001562180-17-003002,2017-09-22,A,6.7058,95.21,4585.7447,I,,,,,,
