cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1174922,2016-02-10,WYNN,WYNN STEPHEN A,,0001174922-16-000133,2016-02-08,P,105267.0,57.67,11846744.0,I,,,,,,
1174922,2016-02-10,WYNN,WYNN STEPHEN A,,0001174922-16-000133,2016-02-09,P,10761.0,56.98,11946128.0,I,,,,,,
1174922,2016-02-23,WYNN,STRZEMP JOHN,,0001174922-16-000138,2016-02-22,F,1049.0,77.18,240877.0,D,,,,,,
1174922,2016-04-13,WYNN,WYNN STEPHEN A,,0001174922-16-000150,2016-04-11,J,20302.0,98.78,12020302.0,I,,,,,,
1174922,2016-04-15,WYNN,Randt Clark T. Jr.,,0001174922-16-000167,2016-04-13,A,2559.0,0.0,2559.0,D,,,,,,
1174922,2016-04-15,WYNN,Hagenbuch John J,,0001174922-16-000166,2016-04-13,A,2559.0,0.0,9510.0,D,,,,,,
1174922,2016-04-15,WYNN,MILLER ROBERT JOS,,0001174922-16-000165,2016-04-13,A,2559.0,0.0,7010.0,D,,,,,,
1174922,2016-04-15,WYNN,IRANI RAY R,,0001174922-16-000163,2016-04-13,A,2559.0,0.0,49510.0,D,,,,,,
1174922,2016-04-15,WYNN,SHOEMAKER ALVIN V,,0001174922-16-000161,2016-04-13,A,2559.0,0.0,7010.0,D,,,,,,
1174922,2016-04-15,WYNN,WAYSON DANIEL BOONE,,0001174922-16-000159,2016-04-13,A,2559.0,0.0,92010.0,D,,,,,,
1174922,2016-04-15,WYNN,Mulroy Patricia,,0001174922-16-000157,2016-04-13,A,2559.0,0.0,2559.0,D,,,,,,
1174922,2016-04-15,WYNN,VIRTUE J EDWARD,,0001174922-16-000155,2016-04-13,A,2559.0,0.0,4510.0,D,,,,,,
1174922,2016-11-09,WYNN,WAYSON DANIEL BOONE,,0001174922-16-000238,2016-11-09,S,37500.0,87.12,54510.0,D,,,,,,
1174922,2016-12-01,WYNN,Sinatra Kimmarie,,0001174922-16-000240,2016-11-29,M,50000.0,47.12,143472.0,D,,,,,,
1174922,2016-12-01,WYNN,Sinatra Kimmarie,,0001174922-16-000240,2016-11-29,S,41743.0,99.76,101729.0,D,,,,,,
1174922,2016-12-07,WYNN,MADDOX MATT,,0001174922-16-000249,2016-12-05,F,20975.0,98.37,85319.0,D,,,,,,
1174922,2016-12-07,WYNN,Sinatra Kimmarie,,0001174922-16-000248,2016-12-05,F,10488.0,98.37,90641.0,D,,,,,,
1174922,2016-12-15,WYNN,WYNN STEPHEN A,,0001174922-16-000258,2016-12-13,G,72851.0,0.0,12000000.0,I,,,,,,
1174922,2016-12-16,WYNN,WAYSON DANIEL BOONE,,0001174922-16-000260,2016-12-14,P,37500.0,93.83,92010.0,D,,,,,,
1174922,2017-01-04,WYNN,Cootey Stephen Lawrence,,0001174922-17-000002,2017-01-02,F,1391.0,86.51,20609.0,D,,,,,,
1174922,2017-01-20,WYNN,STRZEMP JOHN,,0001174922-17-000009,2017-01-19,F,3460.0,90.93,245665.0,D,,,,,,
1174922,2017-01-20,WYNN,WYNN STEPHEN A,,0001174922-17-000010,2017-01-19,A,137468.0,0.0,12137468.0,I,,,,,,
1174922,2017-01-20,WYNN,STRZEMP JOHN,,0001174922-17-000009,2017-01-19,A,8248.0,0.0,249125.0,D,,,,,,
1174922,2017-01-20,WYNN,WYNN STEPHEN A,,0001174922-17-000010,2017-01-19,F,57668.0,90.93,12079800.0,I,,,,,,
1174922,2017-01-20,WYNN,MADDOX MATT,,0001174922-17-000008,2017-01-19,A,16496.0,0.0,101815.0,D,,,,,,
1174922,2017-01-20,WYNN,Sinatra Kimmarie,,0001174922-17-000007,2017-01-19,A,9347.0,0.0,99988.0,D,,,,,,
1174922,2017-01-20,WYNN,Sinatra Kimmarie,,0001174922-17-000007,2017-01-19,F,3921.0,90.93,96067.0,D,,,,,,
1174922,2017-01-20,WYNN,MADDOX MATT,,0001174922-17-000008,2017-01-19,F,6920.0,90.93,94895.0,D,,,,,,
1174922,2017-02-22,WYNN,STRZEMP JOHN,,0001174922-17-000018,2017-02-21,F,7342.0,95.97,238323.0,D,,,,,,
1174922,2017-03-01,WYNN,Billings Craig Scott,,0001174922-17-000041,2017-03-01,A,30000.0,0.0,30000.0,D,,,,,,
1174922,2017-03-01,WYNN,Sinatra Kimmarie,,0001174922-17-000039,2017-02-28,A,100000.0,0.0,196067.0,D,,,,,,
1174922,2017-03-01,WYNN,MADDOX MATT,,0001174922-17-000038,2017-02-28,A,200000.0,0.0,294895.0,D,,,,,,
1174922,2017-03-07,WYNN,STRZEMP JOHN,,0001174922-17-000043,2017-03-06,S,20000.0,100.38,218323.0,D,,,,,,
1174922,2017-04-24,WYNN,Randt Clark T. Jr.,,0001174922-17-000062,2017-04-20,A,2152.0,0.0,4711.0,D,,,,,,
1174922,2017-04-24,WYNN,WAYSON DANIEL BOONE,,0001174922-17-000064,2017-04-20,A,2152.0,0.0,94162.0,D,,,,,,
1174922,2017-04-24,WYNN,SHOEMAKER ALVIN V,,0001174922-17-000060,2017-04-20,A,2152.0,0.0,9162.0,D,,,,,,
1174922,2017-04-24,WYNN,IRANI RAY R,,0001174922-17-000061,2017-04-20,A,2152.0,0.0,51662.0,D,,,,,,
1174922,2017-04-24,WYNN,MILLER ROBERT JOS,,0001174922-17-000063,2017-04-20,A,2152.0,0.0,9162.0,D,,,,,,
1174922,2017-04-24,WYNN,JOHNSON JAY L,,0001174922-17-000068,2017-04-20,A,2152.0,0.0,2152.0,D,,,,,,
1174922,2017-04-24,WYNN,VIRTUE J EDWARD,,0001174922-17-000065,2017-04-20,A,2152.0,0.0,6662.0,D,,,,,,
1174922,2017-04-24,WYNN,Mulroy Patricia,,0001174922-17-000066,2017-04-20,A,2152.0,0.0,4711.0,D,,,,,,
1174922,2017-04-24,WYNN,Hagenbuch John J,,0001174922-17-000067,2017-04-20,A,2152.0,0.0,11662.0,D,,,,,,
1174922,2017-04-28,WYNN,MADDOX MATT,,0001174922-17-000080,2017-04-27,M,60000.0,47.12,354895.0,D,,,,,,
1174922,2017-04-28,WYNN,MADDOX MATT,,0001174922-17-000080,2017-04-27,S,60000.0,124.25,294895.0,D,,,,,,
1174922,2017-05-18,WYNN,Hagenbuch John J,,0001174922-17-000111,2017-05-16,S,1100.0,128.5,0.0,I,,,,,,
1174922,2017-05-18,WYNN,Hagenbuch John J,,0001174922-17-000111,2017-05-17,S,50.0,126.23,0.0,I,,,,,,
1174922,2017-05-18,WYNN,Mulroy Patricia,,0001174922-17-000110,2017-05-16,M,3300.0,68.25,8011.0,D,,,,,,
1174922,2017-05-18,WYNN,Mulroy Patricia,,0001174922-17-000110,2017-05-16,S,2226.0,128.08,5785.0,D,,,,,,
1174922,2017-06-13,WYNN,Sinatra Kimmarie,,0001174922-17-000113,2017-06-09,M,25000.0,107.95,221067.0,D,,,,,,
1174922,2017-06-13,WYNN,Sinatra Kimmarie,,0001174922-17-000113,2017-06-09,S,22624.0,129.12,198443.0,D,,,,,,
1174922,2017-06-20,WYNN,MADDOX MATT,,0001174922-17-000115,2017-06-16,M,50000.0,107.95,344895.0,D,,,,,,
1174922,2017-06-20,WYNN,MADDOX MATT,,0001174922-17-000115,2017-06-16,S,44309.0,134.35,300586.0,D,,,,,,
1174922,2017-08-02,WYNN,Randt Clark T. Jr.,,0001174922-17-000126,2017-07-31,M,3000.0,68.25,7711.0,D,,,,,,
1174922,2017-08-02,WYNN,Randt Clark T. Jr.,,0001174922-17-000126,2017-07-31,S,3000.0,129.0,4711.0,D,,,,,,
1174922,2017-09-19,WYNN,MADDOX MATT,,0001174922-17-000153,2017-09-15,M,50000.0,107.95,350586.0,D,,,,,,
1174922,2017-09-19,WYNN,MADDOX MATT,,0001174922-17-000153,2017-09-15,S,40833.0,143.41,309753.0,D,,,,,,
1174922,2017-09-19,WYNN,Sinatra Kimmarie,,0001174922-17-000152,2017-09-15,M,25000.0,107.95,223443.0,D,,,,,,
1174922,2017-09-19,WYNN,Sinatra Kimmarie,,0001174922-17-000152,2017-09-15,S,21451.0,143.62,201992.0,D,,,,,,
1174922,2017-11-07,WYNN,IRANI RAY R,,0001174922-17-000173,2017-11-03,M,10000.0,138.43,61662.0,D,,,,,,
1174922,2017-11-09,WYNN,SHOEMAKER ALVIN V,,0001174922-17-000181,2017-11-08,M,10000.0,47.12,19162.0,D,,,,,,
1174922,2017-11-09,WYNN,SHOEMAKER ALVIN V,,0001174922-17-000181,2017-11-08,S,15000.0,151.74,9162.0,D,,,,,,
1174922,2017-11-09,WYNN,Sinatra Kimmarie,,0001174922-17-000180,2017-11-08,M,25000.0,107.95,226992.0,D,,,,,,
1174922,2017-11-09,WYNN,Sinatra Kimmarie,,0001174922-17-000180,2017-11-08,S,20795.0,152.03,206197.0,D,,,,,,
1174922,2017-11-09,WYNN,Sinatra Kimmarie,,0001174922-17-000180,2017-11-09,S,15.0,152.07,206182.0,D,,,,,,
1174922,2017-11-15,WYNN,MADDOX MATT,,0001174922-17-000184,2017-11-13,M,50000.0,107.95,357686.0,D,,,,,,
1174922,2017-11-15,WYNN,MADDOX MATT,,0001174922-17-000184,2017-11-13,S,58258.0,155.11,329428.0,D,,,,,,
1174922,2017-12-27,WYNN,Sinatra Kimmarie,,0001174922-17-000195,2017-12-22,F,3001.0,167.75,210334.0,D,,,,,,
1174922,2017-12-27,WYNN,Billings Craig Scott,,0001174922-17-000196,2017-12-22,F,2251.0,167.75,33114.0,D,,,,,,
1174922,2017-12-27,WYNN,Sinatra Kimmarie,,0001174922-17-000195,2017-12-22,A,7153.0,0.0,213335.0,D,,,,,,
1174922,2017-12-27,WYNN,Billings Craig Scott,,0001174922-17-000196,2017-12-22,A,5365.0,0.0,35365.0,D,,,,,,
