cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
106535,2016-02-10,WY,HILLMAN JEANNE M,,0001225208-16-025968,2016-02-08,F,362.0,23.99,42760.0,D,,,,,,
106535,2016-02-10,WY,Slater Catherine I,,0001225208-16-025967,2016-02-08,F,305.0,23.99,32897.0,D,,,,,,
106535,2016-02-10,WY,Merle Denise M,,0001225208-16-025966,2016-02-08,F,202.0,23.99,19788.0,D,,,,,,
106535,2016-02-10,WY,Bedient Patricia M,,0001225208-16-025965,2016-02-08,F,1067.0,23.99,192781.0,D,,,,,,
106535,2016-02-10,WY,Hunter Rhonda D,,0001225208-16-025964,2016-02-08,F,366.0,23.99,37071.0,D,,,,,,
106535,2016-02-11,WY,Bedient Patricia M,,0001225208-16-026163,2016-02-09,A,28308.0,0.0,218266.0,D,,,,,,
106535,2016-02-11,WY,Blocker Adrian M,,0001225208-16-026167,2016-02-09,A,16782.0,0.0,43446.0,D,,,,,,
106535,2016-02-11,WY,Stockfish Devin W,,0001225208-16-026165,2016-02-09,A,11909.0,0.0,26054.0,D,,,,,,
106535,2016-02-11,WY,SIMONS DOYLE R,,0001225208-16-026164,2016-02-09,A,94162.0,0.0,250128.0,D,,,,,,
106535,2016-02-11,WY,Hunter Rhonda D,,0001225208-16-026156,2016-02-09,A,16782.0,0.0,53349.0,D,,,,,,
106535,2016-02-11,WY,Merle Denise M,,0001225208-16-026154,2016-02-09,A,7751.0,0.0,27539.0,D,,,,,,
106535,2016-02-11,WY,Slater Catherine I,,0001225208-16-026152,2016-02-09,A,21654.0,0.0,54116.0,D,,,,,,
106535,2016-02-11,WY,HILLMAN JEANNE M,,0001225208-16-026159,2016-02-09,A,5774.0,0.0,48018.0,D,,,,,,
106535,2016-02-12,WY,SIMONS DOYLE R,,0001225208-16-026388,2016-02-10,A,75905.0,0.0,326033.0,D,,,,,,
106535,2016-02-16,WY,Bedient Patricia M,,0001225208-16-026666,2016-02-13,F,987.0,22.6,228354.0,D,,,,,,
106535,2016-02-16,WY,Bozeman David P,,0001225208-16-026510,2016-02-12,F,7.0,22.22,4268.81,D,,,,,,
106535,2016-02-16,WY,Slater Catherine I,,0001225208-16-026670,2016-02-13,F,242.0,22.6,81123.0,D,,,,,,
106535,2016-02-16,WY,Blocker Adrian M,,0001225208-16-026655,2016-02-12,F,549.0,22.22,56340.0,D,,,,,,
106535,2016-02-16,WY,Merle Denise M,,0001225208-16-026668,2016-02-13,F,133.0,22.6,35853.0,D,,,,,,
106535,2016-02-16,WY,Slater Catherine I,,0001225208-16-026659,2016-02-12,F,445.0,22.22,83896.0,D,,,,,,
