cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
34088,2019-03-08,XOM,Ebner Randall M,,0001127602-19-010526,2019-03-07,G,124.0,,220986.852,D,,,,,,
34088,2019-05-08,XOM,Chapman Neil A,,0001127602-19-017714,2019-05-07,G,1321.0,0.0,357524.0,D,,,,,,
34088,2019-05-16,XOM,Milton Bryan W,,0001127602-19-018802,2019-05-15,S,6033.0,76.3401,219422.5836,D,,,,,,
34088,2019-08-06,XOM,Schleckser Robert N,,0001127602-19-026126,2019-08-05,S,9345.0,70.84,189800.0,D,,,,,,
34088,2019-11-22,XOM,Mallon Liam M,,0001127602-19-033562,2019-11-20,S,32287.0,68.2603,211288.705,D,,,,,,
34088,2019-11-22,XOM,Mallon Liam M,,0001127602-19-033562,2019-11-21,G,440.0,,210848.705,D,,,,,,
34088,2019-11-29,XOM,Woods Darren W,,0001127602-19-033889,2019-11-26,F,9208.0,69.07,638032.0,D,,,,,,
34088,2019-11-29,XOM,Hansen Neil A,,0001127602-19-033867,2019-11-26,A,17800.0,,50600.0,D,,,,,,
34088,2019-11-29,XOM,Greenlee Stephen M,,0001127602-19-033864,2019-11-26,F,9208.0,69.07,448150.0,D,,,,,,
34088,2019-11-29,XOM,Greenlee Stephen M,,0001127602-19-033864,2019-11-26,A,61200.0,,509350.0,D,,,,,,
34088,2019-11-29,XOM,Duffin Neil W,,0001127602-19-033859,2019-11-26,A,73200.0,,590679.0,D,,,,,,
34088,2019-11-29,XOM,DuCharme Linda D,,0001127602-19-033855,2019-11-26,A,42100.0,,220435.88,D,,,,,,
34088,2019-11-29,XOM,Milton Bryan W,,0001127602-19-033873,2019-11-26,F,5893.0,69.07,213619.1627,D,,,,,,
34088,2019-11-29,XOM,Ebner Randall M,,0001127602-19-033862,2019-11-26,A,49500.0,,276368.277,D,,,,,,
34088,2019-11-29,XOM,Chapman Neil A,,0001127602-19-033853,2019-11-26,F,7693.0,69.07,349831.0,D,,,,,,
34088,2019-11-29,XOM,Chapman Neil A,,0001127602-19-033853,2019-11-26,A,95800.0,,445631.0,D,,,,,,
34088,2019-11-29,XOM,Duffin Neil W,,0001127602-19-033859,2019-11-26,F,12671.0,69.07,517479.0,D,,,,,,
34088,2019-11-29,XOM,Mallon Liam M,,0001127602-19-033869,2019-11-26,A,55000.0,,264968.705,D,,,,,,
34088,2019-11-29,XOM,Rosenthal David S,,0001127602-19-033875,2019-11-26,F,6085.0,69.07,252165.0,D,,,,,,
34088,2019-11-29,XOM,Rosenthal David S,,0001127602-19-033875,2019-11-26,A,64400.0,,316565.0,D,,,,,,
34088,2019-11-29,XOM,Woods Darren W,,0001127602-19-033889,2019-11-26,A,180000.0,,818032.0,D,,,,,,
34088,2019-11-29,XOM,Milton Bryan W,,0001127602-19-033873,2019-11-26,A,37400.0,,251019.1627,D,,,,,,
34088,2019-11-29,XOM,McKee Karen T,,0001127602-19-033871,2019-11-26,A,35300.0,,158837.0,D,,,,,,
34088,2019-11-29,XOM,Williams Jack P Jr,,0001127602-19-033887,2019-11-26,A,85100.0,,468418.0,D,,,,,,
34088,2019-11-29,XOM,Swiger Andrew P,,0001127602-19-033885,2019-11-26,F,17865.0,69.07,1020168.0,D,,,,,,
34088,2019-11-29,XOM,Swiger Andrew P,,0001127602-19-033885,2019-11-26,A,111600.0,,1131768.0,D,,,,,,
34088,2019-11-29,XOM,Spellings James M Jr,,0001127602-19-033880,2019-11-26,F,5977.0,69.07,233623.0,D,,,,,,
34088,2019-11-29,XOM,Williams Jack P Jr,,0001127602-19-033887,2019-11-26,F,9208.0,69.07,383318.0,D,,,,,,
34088,2019-11-29,XOM,Schleckser Robert N,,0001127602-19-033877,2019-11-26,A,35300.0,,220689.0,D,,,,,,
