cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
818479,2019-11-13,XRAY,ALFANO MICHAEL C,,0001127602-19-032677,2019-11-12,M,1765.0,32.64,15153.206,D,,,,,,
818479,2019-11-13,XRAY,ALFANO MICHAEL C,,0001127602-19-032677,2019-11-12,S,1765.0,56.29,13388.206,D,,,,,,
818479,2019-11-13,XRAY,Yankie Lisa,,0001127602-19-032608,2019-11-11,A,4430.0,0.0,4430.0,D,,,,,,
818479,2019-11-15,XRAY,Newell William E,,0001127602-19-032876,2019-11-13,F,29.0,56.48,13809.018,D,,,,,,
818479,2019-11-15,XRAY,CHIDAMBARAM CHIDAMBARAM ALAGAPPA,,0001127602-19-032875,2019-11-13,F,335.0,56.48,4370.042,D,,,,,,
818479,2019-12-13,XRAY,Vergis Janet S.,,0001127602-19-034947,2019-12-11,A,2010.0,0.0,2010.0,D,,,,,,
818479,2020-01-03,XRAY,Petersohn Walter,,0001127602-20-000646,2020-01-01,F,879.0,56.59,35459.7634,D,,,,,,
818479,2020-01-14,XRAY,Yankie Lisa,,0001127602-20-001566,2020-01-10,A,7.794,0.0,4437.794,D,,,,,,
818479,2020-01-14,XRAY,Vergis Janet S.,,0001127602-20-001565,2020-01-10,A,3.536,0.0,2013.536,D,,,,,,
818479,2020-01-14,XRAY,VARON LESLIE F,,0001127602-20-001562,2020-01-10,A,9.84,0.0,5602.943,D,,,,,,
818479,2020-01-14,XRAY,Staehler Cord Friedrich,,0001127602-20-001561,2020-01-10,A,1.709,0.0,972.993,D,,,,,,
818479,2020-01-14,XRAY,Petersohn Walter,,0001127602-20-001560,2020-01-10,A,17.929,0.0,35477.6924,D,,,,,,
818479,2020-01-14,XRAY,Newell William E,,0001127602-20-001559,2020-01-10,A,13.196,0.0,13822.214,D,,,,,,
