cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1524472,2016-02-26,XYL,Flinton David,,0001209191-16-103136,2016-02-24,A,3002.0,0.0,14998.0,D,,,,,,
1524472,2016-02-26,XYL,Napolitano Kenneth,,0001209191-16-103135,2016-02-24,A,5338.0,0.0,55916.0,D,,,,,,
1524472,2016-02-26,XYL,Sabol Colin R,,0001209191-16-103131,2016-02-24,A,5004.0,0.0,50276.0,D,,,,,,
1524472,2016-02-26,XYL,Brannemo Tomas,,0001209191-16-103128,2016-02-24,A,2002.0,0.0,17993.0,D,,,,,,
1524472,2016-02-26,XYL,Leung Pak Steven,,0001209191-16-103124,2016-02-24,A,3336.0,0.0,14583.0,D,,,,,,
1524472,2016-02-26,XYL,Tarapore Kairus,,0001209191-16-103120,2016-02-24,A,3670.0,0.0,14940.0,D,,,,,,
1524472,2016-02-26,XYL,Patel Shashank,,0001209191-16-103118,2016-02-24,A,1668.0,0.0,17192.5,D,,,,,,
1524472,2016-02-26,XYL,Decker Patrick,,0001209191-16-103116,2016-02-24,A,33360.0,0.0,164586.0,D,,,,,,
1524472,2016-02-26,XYL,Connolly John P.,,0001209191-16-103114,2016-02-24,A,1334.0,0.0,16399.0,D,,,,,,
1524472,2016-02-26,XYL,Toussaint Claudia S,,0001209191-16-103105,2016-02-24,A,4337.0,0.0,68509.0,D,,,,,,
1524472,2016-03-03,XYL,Connolly John P.,,0001209191-16-105169,2016-03-01,F,1328.0,37.94,15071.0,D,,,,,,
1524472,2016-03-03,XYL,Flinton David,,0001209191-16-105168,2016-03-01,F,561.0,37.94,14437.0,D,,,,,,
1524472,2016-03-03,XYL,Napolitano Kenneth,,0001209191-16-105165,2016-03-01,F,3107.0,37.94,52809.0,D,,,,,,
1524472,2016-03-03,XYL,Patel Shashank,,0001209191-16-105164,2016-03-01,F,752.0,37.94,16440.5,D,,,,,,
1524472,2016-03-03,XYL,Sabol Colin R,,0001209191-16-105163,2016-03-01,F,2219.0,37.94,48057.0,D,,,,,,
1524472,2016-03-03,XYL,Brannemo Tomas,,0001209191-16-105162,2016-03-01,S,822.0,37.8544,17171.0,D,,,,,,
1524472,2016-03-10,XYL,Brannemo Tomas,,0001209191-16-107535,2016-03-09,M,1790.0,24.6,18961.0,D,,,,,,
1524472,2016-03-10,XYL,Brannemo Tomas,,0001209191-16-107535,2016-03-09,S,1790.0,38.0386,17171.0,D,,,,,,
1524472,2016-03-21,XYL,Decker Patrick,,0001209191-16-109700,2016-03-17,F,11604.0,39.01,152982.0,D,,,,,,
1524472,2016-05-06,XYL,RAJKOWSKI E MARK,,0001209191-16-118193,2016-05-05,A,9030.0,0.0,9030.0,D,,,,,,
1524472,2016-05-09,XYL,Napolitano Kenneth,,0001209191-16-118503,2016-05-05,S,8400.0,41.6101,44409.0,D,,,,,,
1524472,2016-05-12,XYL,Harker Victoria D,,0001209191-16-119507,2016-05-11,A,2799.0,0.0,17861.0,D,,,,,,
1524472,2016-05-12,XYL,Peribere Jerome A,,0001209191-16-119597,2016-05-11,A,2799.0,0.0,12632.0,D,,,,,,
1524472,2016-05-12,XYL,LORANGER STEVEN R,,0001209191-16-119593,2016-05-11,A,2799.0,0.0,12588.0,D,,,,,,
1524472,2016-05-12,XYL,MOHAPATRA SURYA N,,0001209191-16-119543,2016-05-11,A,2799.0,0.0,30726.0,D,,,,,,
1524472,2016-05-12,XYL,LUDWIG EDWARD J,,0001209191-16-119652,2016-05-11,A,2799.0,0.0,21901.0,D,,,,,,
1524472,2016-05-12,XYL,Jakobsson Sten E,,0001209191-16-119427,2016-05-11,A,2799.0,0.0,13785.0,D,,,,,,
1524472,2016-05-12,XYL,TAMBAKERAS MARKOS I,,0001209191-16-119496,2016-05-11,A,4373.0,0.0,40517.0,D,,,,,,
1524472,2016-05-12,XYL,FRIEL ROBERT F,,0001209191-16-119452,2016-05-12,A,2799.0,0.0,14051.0,D,,,,,,
1524472,2016-05-12,XYL,Jakobsson Sten E,,0001209191-16-119427,2016-05-10,F,543.0,42.53,10986.0,D,,,,,,
1524472,2016-05-12,XYL,CRAWFORD CURTIS J,,0001209191-16-119506,2016-05-11,A,2799.0,0.0,57142.0,D,,,,,,
1524472,2016-05-16,XYL,Sabol Colin R,,0001209191-16-120365,2016-05-12,M,14828.0,30.03,62885.0,D,,,,,,
1524472,2016-05-16,XYL,Sabol Colin R,,0001209191-16-120365,2016-05-12,S,14828.0,42.86,48057.0,D,,,,,,
1524472,2016-05-31,XYL,LORANGER STEVEN R,,0001209191-16-124347,2016-05-27,S,50000.0,44.6735,127118.0,I,,,,,,
1524472,2016-06-02,XYL,LORANGER STEVEN R,,0001209191-16-125173,2016-06-01,S,50000.0,44.52,77118.0,I,,,,,,
1524472,2016-08-01,XYL,LORANGER STEVEN R,,0001209191-16-134691,2016-07-28,M,32246.0,30.03,38334.0,D,,,,,,
1524472,2016-08-01,XYL,LORANGER STEVEN R,,0001209191-16-134691,2016-07-28,S,32246.0,48.01,6088.0,D,,,,,,
1524472,2016-08-05,XYL,Tarapore Kairus,,0001209191-16-135633,2016-08-03,F,813.0,46.23,14127.0,D,,,,,,
1524472,2016-08-12,XYL,LORANGER STEVEN R,,0001209191-16-136747,2016-08-10,M,5155.0,30.03,11243.0,D,,,,,,
1524472,2016-08-12,XYL,LORANGER STEVEN R,,0001209191-16-136747,2016-08-10,S,5155.0,48.0,6088.0,D,,,,,,
1524472,2016-08-12,XYL,LORANGER STEVEN R,,0001209191-16-136747,2016-08-11,M,28732.0,30.03,34820.0,D,,,,,,
1524472,2016-08-12,XYL,LORANGER STEVEN R,,0001209191-16-136747,2016-08-11,S,28732.0,48.13,6088.0,D,,,,,,
1524472,2016-08-19,XYL,Brannemo Tomas,,0001209191-16-137892,2016-08-17,M,3986.0,35.96,20480.0,D,,,,,,
1524472,2016-08-19,XYL,Brannemo Tomas,,0001209191-16-137892,2016-08-17,S,3986.0,50.064,16494.0,D,,,,,,
1524472,2016-09-09,XYL,Sabol Colin R,,0001209191-16-140704,2016-09-07,S,17473.0,50.87,48057.0,D,,,,,,
