cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1136869,2017-03-21,ZBH,Collins Tony W.,,0000911916-17-000116,2017-03-17,M,878.0,0.0,1205.0,D,,,,,,
1136869,2017-03-21,ZBH,Collins Tony W.,,0000911916-17-000116,2017-03-17,F,281.0,120.47,924.0,D,,,,,,
1136869,2017-03-21,ZBH,DVORAK DAVID C,,0000911916-17-000115,2017-03-17,M,23929.0,0.0,294077.0,D,,,,,,
1136869,2017-03-21,ZBH,DVORAK DAVID C,,0000911916-17-000115,2017-03-17,F,11151.0,120.47,282926.0,D,,,,,,
1136869,2017-03-21,ZBH,DVORAK DAVID C,,0000911916-17-000115,2017-03-20,S,1040.0,121.63,281886.0,D,,,,,,
1136869,2017-03-21,ZBH,Mazur-Hofsaess Katarzyna,,0000911916-17-000114,2017-03-17,M,4685.0,0.0,16682.0,D,,,,,,
1136869,2017-03-21,ZBH,Nolan David A. Jr.,,0000911916-17-000113,2017-03-17,M,1497.0,0.0,9582.0,D,,,,,,
1136869,2017-03-21,ZBH,Nolan David A. Jr.,,0000911916-17-000113,2017-03-17,F,480.0,120.47,9102.0,D,,,,,,
1136869,2017-03-21,ZBH,Phipps Chad F,,0000911916-17-000112,2017-03-17,M,4587.0,0.0,38349.0,D,,,,,,
1136869,2017-03-21,ZBH,Phipps Chad F,,0000911916-17-000112,2017-03-17,F,1925.0,120.47,36424.0,D,,,,,,
1136869,2017-03-21,ZBH,Yi Sang,,0000911916-17-000111,2017-03-17,M,1197.0,0.0,4381.0,D,,,,,,
1136869,2017-04-04,ZBH,Yi Sang,,0000911916-17-000137,2017-04-01,M,400.0,0.0,4781.0,D,,,,,,
1136869,2017-05-01,ZBH,DVORAK DAVID C,,0000911916-17-000165,2017-04-27,M,100000.0,88.76,381886.0,D,,,,,,
1136869,2017-05-01,ZBH,DVORAK DAVID C,,0000911916-17-000165,2017-04-27,S,52784.0,116.13,329102.0,D,,,,,,
1136869,2017-05-09,ZBH,Phipps Chad F,,0000911916-17-000167,2017-05-05,M,6200.0,90.61,42697.0,D,,,,,,
1136869,2017-05-09,ZBH,Phipps Chad F,,0000911916-17-000167,2017-05-05,S,5000.0,116.6156,37697.0,D,,,,,,
1136869,2017-06-13,ZBH,Yi Sang,,0000911916-17-000192,2017-06-09,M,6097.0,73.15,10885.0,D,,,,,,
1136869,2017-06-13,ZBH,Yi Sang,,0000911916-17-000192,2017-06-09,S,6097.0,124.8599,11648.0,D,,,,,,
1136869,2017-06-13,ZBH,Yi Sang,,0000911916-17-000192,2017-06-12,S,4300.0,123.6157,14.0,D,,,,,,
1136869,2017-06-27,ZBH,Johnson Adam Rudolph,,0000911916-17-000198,2017-06-24,M,10565.0,0.0,14582.0,D,,,,,,
1136869,2017-06-27,ZBH,Williamson Daniel E.,,0000911916-17-000199,2017-06-24,F,4283.0,129.255,8282.0,D,,,,,,
1136869,2017-06-27,ZBH,Williamson Daniel E.,,0000911916-17-000199,2017-06-24,M,10565.0,0.0,12565.0,D,,,,,,
1136869,2017-06-27,ZBH,Johnson Adam Rudolph,,0000911916-17-000198,2017-06-24,F,3489.0,129.255,11093.0,D,,,,,,
1136869,2017-06-27,ZBH,Florin Daniel P,,0000911916-17-000197,2017-06-24,F,7262.0,129.255,22604.0,D,,,,,,
1136869,2017-06-27,ZBH,Florin Daniel P,,0000911916-17-000197,2017-06-24,M,16225.0,0.0,29866.0,D,,,,,,
1136869,2017-08-02,ZBH,Collins Tony W.,,0000911916-17-000222,2017-07-31,M,1752.0,73.15,2796.0,D,,,,,,
1136869,2017-08-02,ZBH,Collins Tony W.,,0000911916-17-000222,2017-07-31,S,15096.0,121.7095,2244.0,D,,,,,,
1136869,2017-11-07,ZBH,Florin Daniel P,,0000911916-17-000244,2017-11-06,G,255.0,0.0,22469.0,D,,,,,,
1136869,2017-12-01,ZBH,Williamson Daniel E.,,0000911916-17-000246,2017-11-29,S,6282.0,116.2982,2000.0,D,,,,,,
1136869,2018-01-05,ZBH,Bruneau Aure,,0000911916-18-000020,2018-01-03,M,185.0,0.0,185.0,D,,,,,,
1136869,2018-01-05,ZBH,Bruneau Aure,,0000911916-18-000020,2018-01-03,F,61.0,124.675,124.0,D,,,,,,
1136869,2018-02-09,ZBH,GLASSCOCK LARRY C,,0000911916-18-000023,2018-02-07,M,485.0,72.59,3468.0,D,,,,,,
1136869,2018-02-14,ZBH,Phipps Chad F,,0000911916-18-000026,2018-02-12,M,27000.0,78.53,63843.0,D,,,,,,
1136869,2018-02-14,ZBH,Phipps Chad F,,0000911916-18-000026,2018-02-12,S,12454.0,115.6365,51389.0,D,,,,,,
1136869,2018-02-20,ZBH,Hanson Bryan C,,0000911916-18-000029,2018-02-16,P,545.0,119.3773,25062.0,D,,,,,,
1136869,2018-02-20,ZBH,Hanson Bryan C,,0000911916-18-000029,2018-02-20,P,15.0,119.859,25077.0,D,,,,,,
1136869,2018-02-20,ZBH,Hanson Bryan C,,0000911916-18-000029,2018-02-15,P,12602.0,119.6011,12602.0,D,,,,,,
