cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
877212,2016-02-12,ZBRA,GAGNIER HUGH K,,0001209191-16-097851,2016-02-10,A,8792,0.0,45994,D,,,,,,
877212,2016-02-12,ZBRA,GUSTAFSSON ANDERS,,0001209191-16-097839,2016-02-11,A,32561,0.0,273269,D,,,,,,
877212,2016-02-12,ZBRA,SMILEY MICHAEL C,,0001209191-16-097804,2016-02-10,A,9443,0.0,46961,D,,,,,,
877212,2016-02-12,ZBRA,TERZICH MICHAEL H,,0001209191-16-097802,2016-02-10,A,7815,0.0,39400,D,,,,,,
877212,2016-02-12,ZBRA,Cho Michael,,0001209191-16-097796,2016-02-10,A,3908,0.0,9722,D,,,,,,
877212,2016-02-12,ZBRA,KAPUT JIM L,,0001209191-16-097792,2016-02-10,A,7164,0.0,28126,D,,,,,,
877212,2016-03-02,ZBRA,Boshold Steve,,0001209191-16-104280,2016-02-29,A,168,0.0,168,D,,,,,,
877212,2016-03-02,ZBRA,Schmitz Jeffrey F,,0001209191-16-104232,2016-02-29,A,3461,0.0,3461,D,,,,,,
877212,2016-03-02,ZBRA,KEYSER RICHARD L,,0001209191-16-104230,2016-02-29,P,1000,61.891,18264,D,,,,,,
877212,2016-03-10,ZBRA,Heel Joachim,,0001209191-16-107559,2016-03-08,P,1560,63.74,15986,D,,,,,,
877212,2016-05-05,ZBRA,TERZICH MICHAEL H,,0001209191-16-117680,2016-05-03,F,1620,63.57,37780,D,,,,,,
877212,2016-05-05,ZBRA,KAPUT JIM L,,0001209191-16-117682,2016-05-03,F,2256,63.57,25870,D,,,,,,
877212,2016-05-05,ZBRA,SMILEY MICHAEL C,,0001209191-16-117686,2016-05-03,F,1957,63.57,45004,D,,,,,,
877212,2016-05-05,ZBRA,GUSTAFSSON ANDERS,,0001209191-16-117675,2016-05-03,F,9920,63.57,263349,D,,,,,,
877212,2016-05-05,ZBRA,Cho Michael,,0001209191-16-117673,2016-05-03,F,810,63.57,8912,D,,,,,,
877212,2016-05-05,ZBRA,GAGNIER HUGH K,,0001209191-16-117674,2016-05-03,F,2202,63.57,43792,D,,,,,,
877212,2016-05-16,ZBRA,GAGNIER HUGH K,,0001209191-16-120220,2016-05-12,A,6846,51.42,46834,D,,,,,,
877212,2016-05-16,ZBRA,Burns Bill,,0001209191-16-120201,2016-05-12,A,8557,51.42,12895,D,,,,,,
877212,2016-05-16,ZBRA,GUSTAFSSON ANDERS,,0001209191-16-120193,2016-05-12,A,32673,51.42,281181,D,,,,,,
877212,2016-05-16,ZBRA,SMILEY MICHAEL C,,0001209191-16-120189,2016-05-12,A,8557,51.42,49817,D,,,,,,
877212,2016-05-16,ZBRA,TERZICH MICHAEL H,,0001209191-16-120187,2016-05-12,A,5640,51.42,40834,D,,,,,,
877212,2016-05-16,ZBRA,Vascsinec Gina,,0001209191-16-120185,2016-05-12,A,1867,51.42,3173,D,,,,,,
877212,2016-05-16,ZBRA,KAPUT JIM L,,0001209191-16-120179,2016-05-12,A,5718,51.42,30103,D,,,,,,
877212,2016-05-16,ZBRA,Heel Joachim,,0001209191-16-120173,2016-05-12,A,6846,0.0,22832,D,,,,,,
877212,2016-05-16,ZBRA,Cho Michael,,0001209191-16-120170,2016-05-12,A,3307,51.42,11004,D,,,,,,
877212,2016-05-23,ZBRA,ROBERTS JANICE M,,0001209191-16-122434,2016-05-03,A,3584,48.83,8877,D,,,,,,
877212,2016-05-23,ZBRA,Modruson Frank Blaise,,0001209191-16-122428,2016-05-19,P,1130,48.88,10772,D,,,,,,
