cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1617640,2019-08-19,Z AND ZG,Rock Jennifer,,0001225208-19-011705,2019-08-15,S,643.0,34.3646,35105.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Rock Jennifer,,0001225208-19-011705,2019-08-16,M,2531.0,22.41,37636.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Rock Jennifer,,0001225208-19-011705,2019-08-16,S,1251.0,35.9204,37636.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Rock Jennifer,,0001225208-19-011705,2019-08-19,S,1950.0,35.7255,33155.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Wacksman Jeremy,,0001225208-19-011704,2019-08-15,S,600.0,34.4499,36620.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Samuelson Errol G,,0001225208-19-011703,2019-08-15,S,2934.0,34.3205,78102.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Samuelson Errol G,,0001225208-19-011703,2019-08-16,S,1040.0,34.58,77062.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Spaulding Dan,,0001225208-19-011702,2019-08-15,S,511.0,34.3912,32116.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Beitel David A.,,0001225208-19-011701,2019-08-15,S,657.0,34.4153,38393.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Schwartz Greg M,,0001225208-19-011700,2019-08-15,S,211.0,34.3998,10587.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Prawer Arik,,0001225208-19-011699,2019-08-15,S,4633.0,34.3232,124997.0,D,,,,,,
1617640,2019-08-19,Z AND ZG,Prawer Arik,,0001225208-19-011699,2019-08-16,S,3632.0,34.58,121365.0,D,,,,,,
1617640,2019-08-20,Z AND ZG,Rascoff Spencer M,,0001225208-19-011760,2019-08-15,M,2000.0,12.6833,14000.0,D,,,,,,
1617640,2019-08-20,Z AND ZG,Rascoff Spencer M,,0001225208-19-011760,2019-08-15,S,400.0,34.5225,13600.0,D,,,,,,
1617640,2019-11-15,Z AND ZG,Rock Jennifer,,0001225208-19-014591,2019-11-14,S,621.0,39.06,32534.0,D,,,,,,
1617640,2019-11-15,Z AND ZG,Wacksman Jeremy,,0001225208-19-014590,2019-11-14,S,579.0,39.0969,36041.0,D,,,,,,
1617640,2019-11-15,Z AND ZG,Spaulding Dan,,0001225208-19-014589,2019-11-14,S,492.0,39.092,31624.0,D,,,,,,
1617640,2019-11-15,Z AND ZG,Schwartz Greg M,,0001225208-19-014588,2019-11-14,S,204.0,39.06,10383.0,D,,,,,,
1617640,2019-11-15,Z AND ZG,Beitel David A.,,0001225208-19-014587,2019-11-14,S,634.0,39.0879,37759.0,D,,,,,,
1617640,2019-11-19,Z AND ZG,Parker Allen,,0001225208-19-014679,2019-11-18,S,11314.0,39.7374,113464.0,D,,,,,,
1617640,2019-11-19,Z AND ZG,Rock Jennifer,,0001225208-19-014678,2019-11-19,M,2531.0,22.41,35065.0,D,,,,,,
1617640,2019-11-19,Z AND ZG,Rock Jennifer,,0001225208-19-014678,2019-11-19,S,1974.0,39.177,33091.0,D,,,,,,
1617640,2019-11-19,Z AND ZG,Samuelson Errol G,,0001225208-19-014677,2019-11-14,S,2858.0,39.0859,74204.0,D,,,,,,
1617640,2019-11-19,Z AND ZG,Samuelson Errol G,,0001225208-19-014677,2019-11-15,S,1041.0,39.0,73163.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Stephenson Gordon Sheridan,,0001225208-19-014755,2019-11-20,S,2261.0,37.4268,13878.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Stephenson Gordon Sheridan,,0001225208-19-014755,2019-11-20,M,6138.0,13.7841,16139.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Spaulding Dan,,0001225208-19-014754,2019-11-20,S,4722.0,38.198,26902.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Wacksman Jeremy,,0001225208-19-014753,2019-11-20,S,3690.0,38.8427,32351.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Prawer Arik,,0001225208-19-014752,2019-11-14,S,4457.0,39.0946,116908.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Prawer Arik,,0001225208-19-014752,2019-11-20,S,6132.0,38.169,107031.0,D,,,,,,
1617640,2019-11-21,Z AND ZG,Prawer Arik,,0001225208-19-014752,2019-11-15,S,3745.0,39.0,113163.0,D,,,,,,
1617640,2019-11-22,Z AND ZG,Owens Bradley D.,,0001225208-19-014816,2019-11-21,M,8218.0,10.9934,8702.0,D,,,,,,
1617640,2019-11-22,Z AND ZG,Owens Bradley D.,,0001225208-19-014816,2019-11-21,S,8218.0,39.5,484.0,D,,,,,,
1617640,2019-11-26,Z AND ZG,Rascoff Spencer M,,0001225208-19-014946,2019-11-22,M,50000.0,12.6833,62000.0,D,,,,,,
1617640,2019-11-26,Z AND ZG,Rascoff Spencer M,,0001225208-19-014946,2019-11-22,S,50000.0,41.0897,12000.0,D,,,,,,
1617640,2019-12-02,Z AND ZG,BLACHFORD ERIK C,,0001225208-19-015079,2019-11-27,M,6138.0,13.7841,18281.0,D,,,,,,
1617640,2019-12-02,Z AND ZG,BLACHFORD ERIK C,,0001225208-19-015079,2019-11-27,S,15139.0,38.9889,3142.0,D,,,,,,
1617640,2019-12-04,Z AND ZG,Rock Jennifer,,0001225208-19-015275,2019-12-03,S,3750.0,40.0,26810.0,D,,,,,,
1617640,2020-01-07,Z AND ZG,Frink Lloyd D,,0001225208-20-000671,2020-01-06,S,4200.0,44.28,3271407.0,D,,,,,,
1617640,2020-01-07,Z AND ZG,Frink Lloyd D,,0001225208-20-000671,2020-01-07,S,4200.0,44.8858,3267207.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Prawer Arik,,0001225208-20-002969,2020-02-19,S,6698.0,52.87,96761.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Spaulding Dan,,0001225208-20-002968,2020-02-18,S,576.0,53.0103,26326.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Samuelson Errol G,,0001225208-20-002970,2020-02-18,S,2879.0,52.7638,70284.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Prawer Arik,,0001225208-20-002969,2020-02-18,S,3572.0,52.6664,103459.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Samuelson Errol G,,0001225208-20-002970,2020-02-19,S,1041.0,52.87,69243.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Beitel David A.,,0001225208-20-002961,2020-02-18,S,694.0,53.1385,37065.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Rock Jennifer,,0001225208-20-002965,2020-02-18,S,709.0,53.0251,29851.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Wacksman Jeremy,,0001225208-20-002964,2020-02-18,S,642.0,53.0175,31709.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Johnson Aimee,,0001225208-20-002966,2020-02-18,S,29.0,53.06,10933.0,D,,,,,,
1617640,2020-02-20,Z AND ZG,Parker Allen,,0001225208-20-002967,2020-02-18,S,1918.0,53.0188,111546.0,D,,,,,,
1617640,2020-02-24,Z AND ZG,Frink Lloyd D,,0001225208-20-003305,2020-02-20,S,678.0,66.4568,3266529.0,D,,,,,,
1617640,2020-02-24,Z AND ZG,Frink Lloyd D,,0001225208-20-003305,2020-02-21,S,2185.0,63.8448,3135622.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Rascoff Spencer M,,0001225208-20-003581,2020-02-24,M,44500.0,10.9934,44500.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Wacksman Jeremy,,0001225208-20-003582,2020-02-24,M,27000.0,30.7534,27468.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Wacksman Jeremy,,0001225208-20-003582,2020-02-24,S,10632.0,60.1063,16436.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Rascoff Spencer M,,0001225208-20-003581,2020-02-24,S,44500.0,61.5098,0.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Rock Jennifer,,0001225208-20-003579,2020-02-24,M,2711.0,40.36,32562.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Spaulding Dan,,0001225208-20-003577,2020-02-24,M,71874.0,23.24,98200.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Spaulding Dan,,0001225208-20-003577,2020-02-24,S,44160.0,61.0428,94540.0,D,,,,,,
1617640,2020-02-26,Z AND ZG,Rock Jennifer,,0001225208-20-003579,2020-02-24,S,9002.0,61.05,27967.0,D,,,,,,
1617640,2020-03-03,Z AND ZG,BLACHFORD ERIK C,,0001225208-20-004249,2020-03-03,S,46300.0,52.9491,356948.0,I,,,,,,
1617640,2020-03-03,Z AND ZG,MAFFEI GREGORY B,,0001225208-20-004226,2020-02-28,M,6138.0,13.7841,312291.0,D,,,,,,
1617640,2020-03-03,Z AND ZG,MAFFEI GREGORY B,,0001225208-20-004226,2020-02-28,S,1.0,53.7,312290.0,D,,,,,,
1617640,2020-03-03,Z AND ZG,Frink Lloyd D,,0001225208-20-004224,2020-03-02,M,35000.0,24.8077,35582.0,D,,,,,,
