cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1585521,2019-04-24,ZM,Subotovsky Santiago,,0001209191-19-025837,2019-04-23,C,622082,0.0,622082,I,,,,,,
1585521,2019-04-24,ZM,Subotovsky Santiago,,0001209191-19-025837,2019-04-23,S,622082,34.2,0,I,,,,,,
1585521,2019-04-24,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-011083,2019-04-23,C,622082,0.0,622082,I,,,,,,
1585521,2019-04-24,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-011083,2019-04-23,S,622082,34.2,0,I,,,,,,
1585521,2019-04-25,ZM,Yuan Eric S.,,0001209191-19-026008,2019-04-23,C,583787,,583787,D,,,,,,
1585521,2019-04-25,ZM,Pelosi Janine,,0001209191-19-026011,2019-04-23,S,81668,36.0,0,D,,,,,,
1585521,2019-04-25,ZM,Pelosi Janine,,0001209191-19-026011,2019-04-23,C,81668,,81668,D,,,,,,
1585521,2019-04-25,ZM,Yuan Bin,,0001209191-19-026018,2019-04-23,S,333333,36.0,1646667,I,,,,,,
1585521,2019-04-25,ZM,"SC US (TTGP), LTD.",,0000899243-19-011144,2019-04-23,C,201581,0.0,201581,I,,,,,,
1585521,2019-04-25,ZM,Yuan Eric S.,,0001209191-19-026008,2019-04-23,S,583787,36.0,0,D,,,,,,
1585521,2019-04-25,ZM,QUALCOMM INC/DE,,0000899243-19-011110,2019-04-23,C,848877,,848877,D,,,,,,
1585521,2019-04-25,ZM,QUALCOMM INC/DE,,0000899243-19-011110,2019-04-23,S,848877,34.2,0,D,,,,,,
1585521,2019-04-25,ZM,Eschenbach Carl M.,,0000899243-19-011141,2019-04-23,S,201581,34.2,0,I,,,,,,
1585521,2019-04-25,ZM,Eschenbach Carl M.,,0000899243-19-011141,2019-04-23,C,201581,0.0,201581,I,,,,,,
1585521,2019-04-25,ZM,"SC US (TTGP), LTD.",,0000899243-19-011144,2019-04-23,S,201581,34.2,0,I,,,,,,
1585521,2019-05-07,ZM,Puccini World Ltd,,0000899243-19-012547,2019-04-23,C,223124,0.0,223124,D,,,,,,
1585521,2019-05-07,ZM,Puccini World Ltd,,0000899243-19-012547,2019-04-23,S,223124,34.2,0,D,,,,,,
1585521,2019-05-07,ZM,Bucantini Enterprises Ltd,,0000899243-19-012531,2019-04-23,C,507243,0.0,507243,D,,,,,,
1585521,2019-05-07,ZM,Bucantini Enterprises Ltd,,0000899243-19-012531,2019-04-23,S,507243,34.2,0,D,,,,,,
1585521,2019-05-07,ZM,Bucantini Enterprises Ltd,,0000899243-19-012531,2019-04-23,P,350000,36.0,350000,I,,,,,,
1585521,2019-09-11,ZM,Steckelberg Kelly,,0001585521-19-000018,2019-09-09,C,221486,0.0,221486,I,,,,,,
1585521,2019-09-11,ZM,Benhorin Roy,,0001585521-19-000017,2019-09-09,C,480000,0.0,480000,D,,,,,,
1585521,2019-09-11,ZM,Pelosi Janine,,0001585521-19-000016,2019-09-09,C,318332,0.0,318332,D,,,,,,
1585521,2019-09-11,ZM,Bawa Aparna,,0001585521-19-000015,2019-09-09,C,360000,0.0,360000,I,,,,,,
1585521,2019-10-02,ZM,Hammonds Kimberly,,0001585521-19-000024,2019-09-30,C,16797,0.0,16797,D,,,,,,
1585521,2019-10-17,ZM,Hammonds Kimberly,,0001585521-19-000026,2019-10-15,C,37500,0.0,54297,D,,,,,,
1585521,2019-10-17,ZM,"SC US (TTGP), LTD.",,0000899243-19-025725,2019-10-15,C,647046,0.0,647046,I,,,,,,
1585521,2019-10-17,ZM,QUALCOMM INC/DE,,0000899243-19-025671,2019-04-15,C,1340000,0.0,1340000,D,,,,,,
1585521,2019-10-17,ZM,"SC US (TTGP), LTD.",,0000899243-19-025723,2019-10-15,J,647046,0.0,0,I,,,,,,
1585521,2019-10-17,ZM,"SC US (TTGP), LTD.",,0000899243-19-025725,2019-10-15,J,647046,0.0,0,I,,,,,,
1585521,2019-10-17,ZM,Hammonds Kimberly,,0001585521-19-000026,2019-10-15,S,10757,69.1504,43540,D,,,,,,
1585521,2019-10-17,ZM,Pelosi Janine,,0001585521-19-000028,2019-10-15,S,2000,68.922,316332,D,,,,,,
1585521,2019-10-17,ZM,Eschenbach Carl M.,,0000899243-19-025722,2019-10-15,C,647046,0.0,647046,I,,,,,,
1585521,2019-10-17,ZM,"SC US (TTGP), LTD.",,0000899243-19-025723,2019-10-15,C,647046,0.0,647046,I,,,,,,
1585521,2019-10-17,ZM,Eschenbach Carl M.,,0000899243-19-025722,2019-10-15,J,647046,0.0,0,I,,,,,,
1585521,2019-10-17,ZM,QUALCOMM INC/DE,,0000899243-19-025671,2019-04-15,S,340000,69.5054,1000000,D,,,,,,
1585521,2019-10-22,ZM,Steckelberg Kelly,,0001585521-19-000030,2019-10-18,C,11067,0.0,11067,D,,,,,,
1585521,2019-10-22,ZM,Steckelberg Kelly,,0001585521-19-000030,2019-10-18,S,5397,65.4317,5670,D,,,,,,
1585521,2019-10-24,ZM,Bawa Aparna,,0001585521-19-000032,2019-10-22,S,20000,63.6839,340000,I,,,,,,
1585521,2019-10-30,ZM,Pelosi Janine,,0001585521-19-000034,2019-10-28,C,6850,0.0,318986,D,,,,,,
1585521,2019-10-30,ZM,Pelosi Janine,,0001585521-19-000034,2019-10-28,S,7322,62.6102,311664,D,,,,,,
1585521,2019-11-01,ZM,Benhorin Roy,,0001585521-19-000038,2019-10-30,S,100000,70.0009,380000,D,,,,,,
1585521,2019-11-06,ZM,Bawa Aparna,,0001585521-19-000040,2019-11-04,S,17307,69.613,322693,I,,,,,,
1585521,2019-11-12,ZM,Hammonds Kimberly,,0001585521-19-000042,2019-11-08,C,3125,0.0,19922,D,,,,,,
1585521,2019-11-12,ZM,Hammonds Kimberly,,0001585521-19-000042,2019-11-08,S,3125,70.0,16797,D,,,,,,
1585521,2019-11-13,ZM,Pelosi Janine,,0001585521-19-000044,2019-11-11,C,6850,0.0,312790,D,,,,,,
1585521,2019-11-13,ZM,Pelosi Janine,,0001585521-19-000044,2019-11-11,S,12646,68.8924,300144,D,,,,,,
1585521,2019-11-20,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-027700,2019-11-18,J,222850,0.0,0,I,,,,,,
1585521,2019-11-20,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-027700,2019-11-18,C,222850,0.0,222850,I,,,,,,
1585521,2019-11-20,ZM,Hammonds Kimberly,,0001585521-19-000046,2019-11-18,S,3206,69.3466,13591,D,,,,,,
1585521,2019-11-20,ZM,Steckelberg Kelly,,0001585521-19-000048,2019-11-18,C,11067,0.0,11067,D,,,,,,
1585521,2019-11-20,ZM,Subotovsky Santiago,,0001585521-19-000050,2019-11-18,J,222850,0.0,0,I,,,,,,
1585521,2019-11-20,ZM,Subotovsky Santiago,,0001585521-19-000050,2019-11-18,C,222850,0.0,222850,I,,,,,,
1585521,2019-11-20,ZM,Steckelberg Kelly,,0001585521-19-000048,2019-11-18,S,3289,69.3334,7778,D,,,,,,
1585521,2019-11-27,ZM,Pelosi Janine,,0001585521-19-000052,2019-11-25,C,6850,0.0,306594,D,,,,,,
1585521,2019-11-27,ZM,Pelosi Janine,,0001585521-19-000052,2019-11-25,S,13046,74.1786,293548,D,,,,,,
1585521,2019-12-10,ZM,Bawa Aparna,,0001585521-19-000061,2019-12-06,S,9658,62.9095,310342,I,,,,,,
1585521,2019-12-11,ZM,"SC US (TTGP), LTD.",,0000899243-19-028977,2019-12-09,C,647046,0.0,647046,I,,,,,,
1585521,2019-12-11,ZM,"SC US (TTGP), LTD.",,0000899243-19-028977,2019-12-09,J,647046,0.0,0,I,,,,,,
1585521,2019-12-11,ZM,Eschenbach Carl M.,,0000899243-19-028979,2019-12-09,C,647046,0.0,647046,I,,,,,,
1585521,2019-12-11,ZM,Eschenbach Carl M.,,0000899243-19-028979,2019-12-09,J,647046,0.0,0,I,,,,,,
1585521,2019-12-11,ZM,Pelosi Janine,,0001585521-19-000063,2019-12-09,S,7369,62.7164,293029,D,,,,,,
1585521,2019-12-11,ZM,Pelosi Janine,,0001585521-19-000063,2019-12-09,C,6850,0.0,300398,D,,,,,,
1585521,2019-12-11,ZM,"SC US (TTGP), LTD.",,0000899243-19-028973,2019-12-09,J,647046,0.0,0,I,,,,,,
1585521,2019-12-11,ZM,"SC US (TTGP), LTD.",,0000899243-19-028973,2019-12-09,C,647046,0.0,647046,I,,,,,,
1585521,2019-12-18,ZM,Subotovsky Santiago,,0001585521-19-000065,2019-12-16,C,445700,0.0,445700,I,,,,,,
1585521,2019-12-18,ZM,Subotovsky Santiago,,0001585521-19-000065,2019-12-16,J,445700,0.0,0,I,,,,,,
1585521,2019-12-18,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-029538,2019-12-16,C,445700,0.0,445700,I,,,,,,
1585521,2019-12-18,ZM,"Emergence Capital Partners III, L.P.",,0000899243-19-029538,2019-12-16,J,445700,0.0,0,I,,,,,,
1585521,2019-12-20,ZM,Steckelberg Kelly,,0001585521-19-000067,2019-12-18,S,7472,67.6271,214708,I,,,,,,
1585521,2019-12-23,ZM,Pelosi Janine,,0001585521-19-000069,2019-12-23,C,6850,0.0,294896,D,,,,,,
1585521,2019-12-23,ZM,Pelosi Janine,,0001585521-19-000069,2019-12-23,S,13046,66.8617,281850,D,,,,,,
1585521,2020-01-07,ZM,Steckelberg Kelly,,0001585521-20-000002,2020-01-03,J,150000,0.0,61113,I,,,,,,
1585521,2020-01-08,ZM,Pelosi Janine,,0001585521-20-000010,2020-01-06,C,6850,0.0,288700,D,,,,,,
1585521,2020-01-08,ZM,Hammonds Kimberly,,0001585521-20-000011,2020-01-06,C,3125,0.0,3125,D,,,,,,
1585521,2020-01-08,ZM,Hammonds Kimberly,,0001585521-20-000011,2020-01-06,S,3125,70.0003,0,D,,,,,,
1585521,2020-01-08,ZM,Pelosi Janine,,0001585521-20-000010,2020-01-06,S,5500,66.637,283200,D,,,,,,
1585521,2020-01-08,ZM,Subotovsky Santiago,,0001585521-20-000008,2020-01-06,J,1448524,0.0,0,I,,,,,,
1585521,2020-01-08,ZM,Benhorin Roy,,0001585521-20-000009,2020-01-06,S,32000,70.0027,348694,D,,,,,,
1585521,2020-01-08,ZM,Hammonds Kimberly,,0001585521-20-000011,2020-01-08,S,3125,71.6865,0,D,,,,,,
1585521,2020-01-08,ZM,Subotovsky Santiago,,0001585521-20-000008,2020-01-06,C,1448524,0.0,1448524,I,,,,,,
1585521,2020-01-08,ZM,Hammonds Kimberly,,0001585521-20-000011,2020-01-08,C,3125,0.0,3125,D,,,,,,
1585521,2020-01-08,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-000830,2020-01-06,J,1448524,0.0,0,I,,,,,,
1585521,2020-01-08,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-000830,2020-01-06,C,1448524,0.0,1448524,I,,,,,,
1585521,2020-01-14,ZM,Benhorin Roy,,0001585521-20-000013,2020-01-10,M,1070,0.0,349764,D,,,,,,
1585521,2020-01-14,ZM,Benhorin Roy,,0001585521-20-000013,2020-01-13,F,437,73.89,349327,D,,,,,,
1585521,2020-01-14,ZM,Benhorin Roy,,0001585521-20-000013,2020-01-13,S,32000,75.0292,317327,D,,,,,,
1585521,2020-01-16,ZM,Yuan Eric S.,,0001585521-20-000015,2020-01-15,C,70143,0.0,70143,D,,,,,,
1585521,2020-01-16,ZM,Yuan Eric S.,,0001585521-20-000015,2020-01-15,S,3800,73.8954,66343,D,,,,,,
1585521,2020-01-16,ZM,Yuan Eric S.,,0001585521-20-000015,2020-01-14,C,70143,0.0,70143,D,,,,,,
1585521,2020-01-16,ZM,Yuan Eric S.,,0001585521-20-000015,2020-01-14,S,24243,73.2029,45900,D,,,,,,
1585521,2020-01-21,ZM,Bawa Aparna,,0001585521-20-000017,2020-01-16,S,7500,78.0,293194,I,,,,,,
1585521,2020-01-23,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-001828,2020-01-21,J,501412,0.0,0,I,,,,,,
1585521,2020-01-23,ZM,Pelosi Janine,,0001585521-20-000021,2020-01-21,C,6850,0.0,282504,D,,,,,,
1585521,2020-01-23,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-001828,2020-01-21,C,501412,0.0,501412,I,,,,,,
1585521,2020-01-23,ZM,Steckelberg Kelly,,0001585521-20-000022,2020-01-21,S,2900,74.964,58213,I,,,,,,
1585521,2020-01-23,ZM,Subotovsky Santiago,,0001585521-20-000023,2020-01-21,C,501412,0.0,501412,I,,,,,,
1585521,2020-01-23,ZM,Pelosi Janine,,0001585521-20-000021,2020-01-21,S,11892,74.7709,270612,D,,,,,,
1585521,2020-01-23,ZM,Subotovsky Santiago,,0001585521-20-000023,2020-01-21,J,501412,0.0,0,I,,,,,,
1585521,2020-01-31,ZM,Gassner Peter P,,0001585521-20-000025,2020-01-29,M,487,0.0,487,D,,,,,,
1585521,2020-01-31,ZM,Yuan Eric S.,,0001585521-20-000027,2020-01-30,G,50000,0.0,0,D,,,,,,
1585521,2020-01-31,ZM,Yuan Eric S.,,0001585521-20-000027,2020-01-30,C,50000,0.0,50000,D,,,,,,
1585521,2020-02-05,ZM,Benhorin Roy,,0001585521-20-000031,2020-02-03,C,65000,0.0,382327,D,,,,,,
1585521,2020-02-05,ZM,Benhorin Roy,,0001585521-20-000031,2020-02-04,S,15000,91.9249,254327,D,,,,,,
1585521,2020-02-05,ZM,Benhorin Roy,,0001585521-20-000031,2020-02-03,S,73500,80.1429,308827,D,,,,,,
1585521,2020-02-05,ZM,Pelosi Janine,,0001585521-20-000030,2020-02-03,S,8150,77.7797,268158,D,,,,,,
1585521,2020-02-05,ZM,Pelosi Janine,,0001585521-20-000030,2020-02-03,C,6850,0.0,276308,D,,,,,,
1585521,2020-02-06,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-003485,2020-02-04,C,501412,0.0,501412,I,,,,,,
1585521,2020-02-06,ZM,Yuan Eric S.,,0001585521-20-000036,2020-02-04,G,50000,0.0,0,D,,,,,,
1585521,2020-02-06,ZM,"Emergence Capital Partners III, L.P.",,0000899243-20-003485,2020-02-04,J,501412,0.0,0,I,,,,,,
1585521,2020-02-06,ZM,Subotovsky Santiago,,0001585521-20-000037,2020-02-04,J,501412,0.0,0,I,,,,,,
1585521,2020-02-06,ZM,Subotovsky Santiago,,0001585521-20-000037,2020-02-04,C,501412,0.0,501412,I,,,,,,
