cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1713683,2018-03-20,ZS,Mangal Ajay,,0000899243-18-008209,2018-03-20,C,18355419,,21566041,I,,,,,,
1713683,2018-03-20,ZS,Darling Scott C,,0000899243-18-008208,2018-03-20,P,62500,16.0,62500,D,,,,,,
1713683,2018-03-20,ZS,Giancarlo Charles H,,0000899243-18-008207,2018-03-20,P,125000,16.0,125000,I,,,,,,
1713683,2018-03-20,ZS,BLASING KAREN,,0000899243-18-008206,2018-03-20,P,15625,16.0,15625,I,,,,,,
1713683,2018-03-20,ZS,Bess Lane,,0000899243-18-008205,2018-03-20,C,164609,,2082417,I,,,,,,
1713683,2018-03-20,ZS,Bess Lane,,0000899243-18-008205,2018-03-20,P,109375,16.0,2191792,I,,,,,,
1713683,2018-03-20,ZS,Chaudhry Jagtar Singh,,0000899243-18-008203,2018-03-20,C,2127760,,2177994,D,,,,,,
1713683,2018-03-22,ZS,"TPG Group Holdings (SBS) Advisors, Inc.",,0000903423-18-000173,2018-03-20,C,9146477,0.0,9146477,I,,,,,,
1713683,2018-09-14,ZS,Brown Andrew William Fraser,,0001209191-18-051114,2018-09-13,M,13333,1.43,14520,D,,,,,,
1713683,2018-09-14,ZS,Sinha Amit,,0001209191-18-051129,2018-09-13,S,4807,42.12,1211859,I,,,,,,
1713683,2018-09-14,ZS,Schlossman Robert,,0001209191-18-051117,2018-09-12,M,45000,4.4,81666,D,,,,,,
1713683,2018-09-14,ZS,Schlossman Robert,,0001209191-18-051117,2018-09-12,S,22236,41.1449,59430,D,,,,,,
1713683,2018-09-14,ZS,Apte Manoj,,0001209191-18-051108,2018-06-12,G,339051,0.0,0,D,,,,,,
1713683,2018-09-14,ZS,Apte Manoj,,0001209191-18-051108,2018-09-12,S,43863,41.0731,295188,I,,,,,,
1713683,2018-09-14,ZS,Apte Manoj,,0001209191-18-051108,2018-09-13,S,27689,42.4418,7443,I,,,,,,
1713683,2018-09-14,ZS,Brown Andrew William Fraser,,0001209191-18-051114,2018-09-13,S,35000,40.6106,1187,D,,,,,,
1713683,2018-09-19,ZS,Sinha Amit,,0001209191-18-051707,2018-09-17,S,13481,40.596,1198378,I,,,,,,
1713683,2018-09-24,ZS,Sinha Amit,,0001209191-18-052065,2018-09-20,S,2223,37.6094,1169636,I,,,,,,
1713683,2018-10-01,ZS,Sinha Amit,,0001209191-18-052878,2018-09-27,S,4807,41.8689,1162245,I,,,,,,
1713683,2018-10-05,ZS,Sinha Amit,,0001209191-18-054453,2018-10-04,S,2284,37.2518,1159961,I,,,,,,
1713683,2018-10-10,ZS,Sinha Amit,,0000899243-18-026525,2018-10-05,A,125000,0.0,125000,D,,,,,,
1713683,2018-10-10,ZS,Schlossman Robert,,0001209191-18-054746,2018-09-28,G,1200,0.0,35466,D,,,,,,
1713683,2018-10-10,ZS,Schlossman Robert,,0001209191-18-054746,2018-10-05,A,62500,0.0,97966,D,,,,,,
1713683,2018-10-10,ZS,CANESSA REMO,,0001209191-18-054743,2018-10-05,A,56250,0.0,306250,D,,,,,,
1713683,2018-10-10,ZS,Apte Manoj,,0001209191-18-054741,2018-10-05,A,112500,0.0,112500,D,,,,,,
1713683,2018-10-15,ZS,Sinha Amit,,0001209191-18-054980,2018-10-11,S,599,33.839,1156839,I,,,,,,
1713683,2018-10-22,ZS,Sinha Amit,,0001209191-18-055900,2018-10-18,S,2257,36.9056,1150374,I,,,,,,
1713683,2018-10-29,ZS,Sinha Amit,,0001209191-18-056414,2018-10-25,S,2623,34.9089,1145201,I,,,,,,
1713683,2018-11-05,ZS,Schlossman Robert,,0001209191-18-057260,2018-11-01,S,4820,35.9869,103146,D,,,,,,
1713683,2018-11-05,ZS,Schlossman Robert,,0001209191-18-057260,2018-11-02,M,35000,4.4,132966,D,,,,,,
1713683,2018-11-05,ZS,Sinha Amit,,0001209191-18-057265,2018-11-01,S,3327,36.2405,1139690,I,,,,,,
1713683,2018-11-05,ZS,Schlossman Robert,,0001209191-18-057260,2018-11-01,M,10000,4.4,107966,D,,,,,,
1713683,2018-11-05,ZS,Schlossman Robert,,0001209191-18-057260,2018-11-02,S,12751,38.74,120215,D,,,,,,
1713683,2018-11-09,ZS,Sinha Amit,,0001209191-18-058013,2018-11-08,S,4551,41.368,1133659,I,,,,,,
1713683,2018-11-16,ZS,Sinha Amit,,0001209191-18-059024,2018-11-15,S,3423,40.1588,1129980,I,,,,,,
1713683,2018-11-27,ZS,Sinha Amit,,0001209191-18-059989,2018-11-25,S,2586,33.8588,1126010,I,,,,,,
1713683,2018-11-30,ZS,Sinha Amit,,0001209191-18-060362,2018-11-28,S,1923,35.16,1123789,I,,,,,,
1713683,2018-11-30,ZS,Sinha Amit,,0001209191-18-060362,2018-11-29,S,4346,36.9861,1119443,I,,,,,,
1713683,2018-12-07,ZS,Sinha Amit,,0001209191-18-061582,2018-12-06,S,2323,38.3844,1116659,I,,,,,,
1713683,2018-12-17,ZS,Sinha Amit,,0001209191-18-063047,2018-12-13,S,4807,41.5874,1109368,I,,,,,,
1713683,2018-12-17,ZS,Sinha Amit,,0001209191-18-063047,2018-12-17,S,5000,40.3171,1104368,I,,,,,,
1713683,2018-12-19,ZS,Giancarlo Charles H,,0001209191-18-063539,2018-12-18,A,4595,0.0,184456,D,,,,,,
1713683,2018-12-19,ZS,Raj Nehal,,0001209191-18-063543,2018-12-18,A,4595,0.0,4595,D,,,,,,
1713683,2018-12-19,ZS,BLASING KAREN,,0001209191-18-063516,2018-12-18,A,4595,0.0,44594,D,,,,,,
1713683,2018-12-19,ZS,Darling Scott C,,0001209191-18-063532,2018-12-18,A,4595,0.0,67095,D,,,,,,
1713683,2018-12-19,ZS,Brown Andrew William Fraser,,0001209191-18-063525,2018-12-18,A,4595,0.0,5782,D,,,,,,
1713683,2018-12-19,ZS,Apte Manoj,,0001209191-18-063507,2018-12-17,S,33401,38.4002,240106,I,,,,,,
1713683,2018-12-19,ZS,Schlossman Robert,,0001209191-18-063513,2018-12-18,S,1562,39.1562,97966,D,,,,,,
1713683,2018-12-21,ZS,Sinha Amit,,0001209191-18-063952,2018-12-19,S,19467,40.564,1084301,I,,,,,,
1713683,2018-12-21,ZS,Sinha Amit,,0001209191-18-063952,2018-12-20,S,2100,36.727,1081601,I,,,,,,
1713683,2018-12-27,ZS,Sinha Amit,,0001713683-18-000013,2018-12-27,S,4123,38.4024,1074771,I,,,,,,
1713683,2019-01-07,ZS,Sinha Amit,,0001209191-19-002542,2019-01-03,S,2700,39.0193,1057054,I,,,,,,
1713683,2019-01-10,ZS,Apte Manoj,,0001209191-19-003359,2018-01-08,S,800,45.0,243185,I,,,,,,
1713683,2019-01-10,ZS,Apte Manoj,,0001209191-19-003359,2018-01-10,S,14200,45.0116,228985,I,,,,,,
1713683,2019-01-14,ZS,Sinha Amit,,0001209191-19-003594,2019-01-10,S,2944,44.6788,1052003,I,,,,,,
1713683,2019-01-18,ZS,Sinha Amit,,0001209191-19-004640,2019-01-17,S,4646,44.4291,1045494,I,,,,,,
1713683,2019-01-25,ZS,Sinha Amit,,0001209191-19-005402,2019-01-24,S,300,43.38,1045033,I,,,,,,
1713683,2019-02-01,ZS,Sinha Amit,,0001209191-19-006504,2019-01-31,S,2223,45.3952,1038303,I,,,,,,
1713683,2019-02-05,ZS,Schlossman Robert,,0001209191-19-007431,2019-02-01,M,45000,4.4,142996,D,,,,,,
1713683,2019-02-05,ZS,Schlossman Robert,,0001209191-19-007431,2019-02-01,S,28788,47.8743,114178,D,,,,,,
1713683,2019-02-05,ZS,Apte Manoj,,0001209191-19-007413,2019-02-01,S,45438,47.7676,183547,I,,,,,,
1713683,2019-02-05,ZS,Apte Manoj,,0001209191-19-007413,2019-02-04,S,15000,49.1807,133441,I,,,,,,
1713683,2019-02-07,ZS,Apte Manoj,,0001209191-19-008341,2019-02-01,S,45438,47.7676,183547,I,,,,,,
1713683,2019-02-07,ZS,Apte Manoj,,0001209191-19-008341,2019-02-04,S,15000,49.1807,133441,I,,,,,,
1713683,2019-02-11,ZS,Sinha Amit,,0001209191-19-009012,2019-02-07,S,3700,47.0868,1032019,I,,,,,,
1713683,2019-02-14,ZS,Sinha Amit,,0001209191-19-010436,2019-02-12,S,84500,50.1773,946412,I,,,,,,
1713683,2019-02-14,ZS,Sinha Amit,,0001209191-19-010436,2019-02-13,S,3605,50.2532,942807,I,,,,,,
1713683,2019-02-14,ZS,Sinha Amit,,0001209191-19-010436,2019-02-14,S,1500,49.268,941307,I,,,,,,
1713683,2019-02-14,ZS,Apte Manoj,,0001209191-19-010432,2019-02-12,S,13000,50.0834,132,I,,,,,,
1713683,2019-02-22,ZS,Sinha Amit,,0001209191-19-012802,2019-02-21,S,4407,49.5629,921698,I,,,,,,
1713683,2019-03-04,ZS,Sinha Amit,,0001209191-19-015864,2019-02-28,S,4307,49.7248,916991,I,,,,,,
1713683,2019-03-04,ZS,Sinha Amit,,0001209191-19-015864,2019-03-01,S,73123,60.6785,843368,I,,,,,,
1713683,2019-03-06,ZS,Brown Andrew William Fraser,,0001209191-19-017530,2019-03-05,M,2000,4.125,7782,D,,,,,,
1713683,2019-03-06,ZS,Brown Andrew William Fraser,,0001209191-19-017530,2019-03-05,S,2000,57.0,5782,D,,,,,,
1713683,2019-03-06,ZS,Schlossman Robert,,0001209191-19-017527,2019-03-05,M,10000,4.4,107966,D,,,,,,
1713683,2019-03-06,ZS,Schlossman Robert,,0001209191-19-017527,2019-03-05,S,9998,57.4953,97968,D,,,,,,
