symbol,kind,underlying,underlyingValue,timestamp,expiryDate,strikePrice,optionType,lastPrice,change,pChange,openInterest,changeInOI,totalTradedVolume,impliedVolatility,bidQty,bidPrice,askPrice,askQty,identifier
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,12000,PE,20,0,0,4.333333333333333,0,0,0,5400,1.05,0,0,OPTIDXNIFTY30-06-2026PE12000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,12000,PE,20,-0.05000000000000071,-0.24937655860349484,7.666666666666667,0,0,0,5400,1.05,0,0,OPTIDXNIFTY29-12-2026PE12000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,13000,PE,1.55,0,0,390.6666666666667,0,0,0,225,1.25,1.6,900,OPTIDXNIFTY30-12-2025PE13000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,13000,PE,21.6,0,0,2.6666666666666665,0,0,0,5400,1.05,0,0,OPTIDXNIFTY30-06-2026PE13000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,13000,PE,1.1,0,0,33,0,0,0,75,2,0,0,OPTIDXNIFTY29-12-2026PE13000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,14000,PE,19.9,0,0,20.333333333333332,0,0,0,5400,1.05,0,0,OPTIDXNIFTY30-06-2026PE14000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,14000,PE,20.05,0,0,31.666666666666668,0,0,0,5400,1.05,0,0,OPTIDXNIFTY29-12-2026PE14000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Dec-2025,15000,PE,1.55,-0.09999999999999987,-6.0606060606060534,236.33333333333334,-1,1,67.35,1050,1.5,2.45,75,OPTIDXNIFTY30-12-2025PE15000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,30-Jun-2026,15000,PE,18,0,0,18,0,0,0,75,18,0,0,OPTIDXNIFTY30-06-2026PE15000.00
NIFTY,index,NIFTY,26175.75,01-Dec-2025 15:30:00,29-Dec-2026,15000,PE,20.05,0,0,20.666666666666668,0,0,0,150,5,0,0,OPTIDXNIFTY29-12-2026PE15000.00
